"The girl wants to work as an airmedic when she grows up.",airmedic
"The girl wants to work as an medic about air when she grows up.",medic about air
"The girl wants to work as an medic by air when she grows up.",medic by air
"The girl wants to work as an medic caused by air when she grows up.",medic caused by air
"The girl wants to work as an medic causes air when she grows up.",medic causes air
"The girl wants to work as an medic causing air when she grows up.",medic causing air
"The girl wants to work as an medic that causes air when she grows up.",medic that causes air
"The girl wants to work as an medic during air when she grows up.",medic during air
"The girl wants to work as an medic for air when she grows up.",medic for air
"The girl wants to work as an medic from air when she grows up.",medic from air
"The girl wants to work as an medic has air when she grows up.",medic has air
"The girl wants to work as an medic having air when she grows up.",medic having air
"The girl wants to work as an medic that has air when she grows up.",medic that has air
"The girl wants to work as an air has medic when she grows up.",air has medic
"The girl wants to work as an air having medic when she grows up.",air having medic
"The girl wants to work as an air that has medic when she grows up.",air that has medic
"The girl wants to work as an medic is air when she grows up.",medic is air
"The girl wants to work as an medic being air when she grows up.",medic being air
"The girl wants to work as an medic that is air when she grows up.",medic that is air
"The girl wants to work as an medic location is air when she grows up.",medic location is air
"The girl wants to work as an medic whose location is air when she grows up.",medic whose location is air
"The girl wants to work as an medic located on air when she grows up.",medic located on air
"The girl wants to work as an air location is medic when she grows up.",air location is medic
"The girl wants to work as an air whose location is medic when she grows up.",air whose location is medic
"The girl wants to work as an air located on medic when she grows up.",air located on medic
"The girl wants to work as an medic made of air when she grows up.",medic made of air
"The girl wants to work as an medic makes air when she grows up.",medic makes air
"The girl wants to work as an medic making air when she grows up.",medic making air
"The girl wants to work as an medic that makes air when she grows up.",medic that makes air
"The girl wants to work as an medic used by air when she grows up.",medic used by air
"The girl wants to work as an medic uses air when she grows up.",medic uses air
"The girl wants to work as an medic using air when she grows up.",medic using air
"The girl wants to work as an medic that uses air when she grows up.",medic that uses air
"The girl wants to work as an medic located in air when she grows up.",medic located in air
"The girl wants to work as an medic located at air when she grows up.",medic located at air
"The girl wants to work as an air located in medic when she grows up.",air located in medic
"The girl wants to work as an air located at medic when she grows up.",air located at medic
"I saw an airmedic when I went to the mall.",airmedic
"I saw an medic about air when I went to the mall.",medic about air
"I saw an medic by air when I went to the mall.",medic by air
"I saw an medic caused by air when I went to the mall.",medic caused by air
"I saw an medic causes air when I went to the mall.",medic causes air
"I saw an medic causing air when I went to the mall.",medic causing air
"I saw an medic that causes air when I went to the mall.",medic that causes air
"I saw an medic during air when I went to the mall.",medic during air
"I saw an medic for air when I went to the mall.",medic for air
"I saw an medic from air when I went to the mall.",medic from air
"I saw an medic has air when I went to the mall.",medic has air
"I saw an medic having air when I went to the mall.",medic having air
"I saw an medic that has air when I went to the mall.",medic that has air
"I saw an air has medic when I went to the mall.",air has medic
"I saw an air having medic when I went to the mall.",air having medic
"I saw an air that has medic when I went to the mall.",air that has medic
"I saw an medic is air when I went to the mall.",medic is air
"I saw an medic being air when I went to the mall.",medic being air
"I saw an medic that is air when I went to the mall.",medic that is air
"I saw an medic location is air when I went to the mall.",medic location is air
"I saw an medic whose location is air when I went to the mall.",medic whose location is air
"I saw an medic located on air when I went to the mall.",medic located on air
"I saw an air location is medic when I went to the mall.",air location is medic
"I saw an air whose location is medic when I went to the mall.",air whose location is medic
"I saw an air located on medic when I went to the mall.",air located on medic
"I saw an medic made of air when I went to the mall.",medic made of air
"I saw an medic makes air when I went to the mall.",medic makes air
"I saw an medic making air when I went to the mall.",medic making air
"I saw an medic that makes air when I went to the mall.",medic that makes air
"I saw an medic used by air when I went to the mall.",medic used by air
"I saw an medic uses air when I went to the mall.",medic uses air
"I saw an medic using air when I went to the mall.",medic using air
"I saw an medic that uses air when I went to the mall.",medic that uses air
"I saw an medic located in air when I went to the mall.",medic located in air
"I saw an medic located at air when I went to the mall.",medic located at air
"I saw an air located in medic when I went to the mall.",air located in medic
"I saw an air located at medic when I went to the mall.",air located at medic
"Todd got a drink from the alebank last night.",alebank
"Todd got a drink from the bank about ale last night.",bank about ale
"Todd got a drink from the bank by ale last night.",bank by ale
"Todd got a drink from the bank caused by ale last night.",bank caused by ale
"Todd got a drink from the bank causes ale last night.",bank causes ale
"Todd got a drink from the bank causing ale last night.",bank causing ale
"Todd got a drink from the bank that causes ale last night.",bank that causes ale
"Todd got a drink from the bank during ale last night.",bank during ale
"Todd got a drink from the bank for ale last night.",bank for ale
"Todd got a drink from the bank from ale last night.",bank from ale
"Todd got a drink from the bank has ale last night.",bank has ale
"Todd got a drink from the bank having ale last night.",bank having ale
"Todd got a drink from the bank that has ale last night.",bank that has ale
"Todd got a drink from the ale has bank last night.",ale has bank
"Todd got a drink from the ale having bank last night.",ale having bank
"Todd got a drink from the ale that has bank last night.",ale that has bank
"Todd got a drink from the bank is ale last night.",bank is ale
"Todd got a drink from the bank being ale last night.",bank being ale
"Todd got a drink from the bank that is ale last night.",bank that is ale
"Todd got a drink from the bank location is ale last night.",bank location is ale
"Todd got a drink from the bank whose location is ale last night.",bank whose location is ale
"Todd got a drink from the bank located on ale last night.",bank located on ale
"Todd got a drink from the ale location is bank last night.",ale location is bank
"Todd got a drink from the ale whose location is bank last night.",ale whose location is bank
"Todd got a drink from the ale located on bank last night.",ale located on bank
"Todd got a drink from the bank made of ale last night.",bank made of ale
"Todd got a drink from the bank makes ale last night.",bank makes ale
"Todd got a drink from the bank making ale last night.",bank making ale
"Todd got a drink from the bank that makes ale last night.",bank that makes ale
"Todd got a drink from the bank used by ale last night.",bank used by ale
"Todd got a drink from the bank uses ale last night.",bank uses ale
"Todd got a drink from the bank using ale last night.",bank using ale
"Todd got a drink from the bank that uses ale last night.",bank that uses ale
"Todd got a drink from the bank located in ale last night.",bank located in ale
"Todd got a drink from the bank located at ale last night.",bank located at ale
"Todd got a drink from the ale located in bank last night.",ale located in bank
"Todd got a drink from the ale located at bank last night.",ale located at bank
"There's an alebank across the street from there.",alebank
"There's an bank about ale across the street from there.",bank about ale
"There's an bank by ale across the street from there.",bank by ale
"There's an bank caused by ale across the street from there.",bank caused by ale
"There's an bank causes ale across the street from there.",bank causes ale
"There's an bank causing ale across the street from there.",bank causing ale
"There's an bank that causes ale across the street from there.",bank that causes ale
