"corpus","ukwac"
"subcorpus","-"
"concordance size","82585"
"query","Query:[lc=""makes"" | lemma_lc=""makes""];Positive filter (excluding KWIC):-1 -1 -1 [tag=""Nc.*""];GDEX:100 "
"businessbureau-uk.co.uk","of  nostalgia  ","makes"," everything"
"www-tus.csx.cam.ac.uk","to help  users  ","makes"," browsing"
"chrishardy.co.uk","the menu  items  ","makes"," a ''deep link ''"
"oriel.ox.ac.uk","time,  cement  ","makes"," a massive"
"jmc.ac.uk","  anyone  ","makes"," 35mm IT8"
"jollyfarmer.co.uk","Speak  leaflet  ","makes"," its"
"hud.ac.uk",". The  recipe  ","makes"," the mosaic by"
"tpr.co.uk",". The  recipe  ","makes"," the mosaics by"
"dcs.ed.ac.uk",". The  recipe  ","makes"," the mosaics by"
"ageconcern.org.uk",", the  system  ","makes"," me want to"
"rumwoodnurseries.co.uk","  theory  ","makes"," defining the"
"bristolfiesta.co.uk",". This  report  ","makes"," an important"
"fdean.gov.uk","The final  tuck  ","makes"," it a much more"
"eatwell.gov.uk","it. The  bill  ","makes"," it an offence"
"untoldlondon.org.uk",". This  service  ","makes"," West-Tec the"
"urbanforum.org.uk",". This  site  ","makes"," use of Dublin"
"horseracingbets.co.uk","the  latter  ","makes"," a little more"
"lists.aldigital.co.uk","''s how the  game  ","makes"," me feel. The"
"placeboworld.co.uk","of your  glow  ","makes"," incontinence"
"accfinweb.account.strath.ac.uk","  diagrams  ","makes"," the package"
"theseguys.co.uk","the  Agreement  ","makes"," it clear that"
"chrishardy.co.uk","  situation  ","makes"," it"
"dcs.ed.ac.uk","the  recipe  ","makes",""
"virtualsociety.sbs.ox.ac.uk",".  Campaign  ","makes"," the front page"
"hsc.uwe.ac.uk","the  author  ","makes"," most"
"tonearm.co.uk","poster  bed  ","makes"," the property"
"rumwoodnurseries.co.uk","  level  ","makes"," an entirely"
"rhs.org.uk","because.  NET  ","makes"," those really"
"ariadne.ac.uk","these  bands  ","makes"," it impossible"
"ipaqrepair.co.uk","? Lucas:  Anger  ","makes"," you stupid."
"pyramus.demon.co.uk","  Universalism  ","makes"," G-d a sadist."
"torro.org.uk","  seismologist  ","makes"," a custom entry"
"socialism.org.uk","  worshippers  ","makes"," Kashi a"
"rumwoodnurseries.co.uk","of the  brain  ","makes"," its outputs"
"leaddiscovery.co.uk",", the  author  ","makes"," you care about"
"placeboworld.co.uk","of your  face  ","makes"," my pacemaker"
"untoldlondon.org.uk","  matter  ","makes"," the latter"
"spartacus.schoolnet.co.uk",". Such a  policy  ","makes"," finding"
"soup.co.uk","  report  ","makes"," case for"
"evuk.co.uk","?  Nitrogen  ","makes"," up 70 per cent"
"pparc.ac.uk","your  company  ","makes"," a substantial"
"whisperingspirits.co.uk","of  ideology  ","makes"," him willing to"
"practicalpc.co.uk","comfy  cushion  ","makes"," a soft and"
"landscapingpavingstone.co.uk","  coverage  ","makes"," it a useful"
"asiaticpheasants.co.uk","the  therapist  ","makes"," space"
"web.ukonline.co.uk","''black ''  blood  ","makes"," you black) and"
"handicap-international.org.uk","than last  year  ","makes"," this the"
"twistednerve.co.uk","school  links  ","makes"," demands on"
"ulo.ucl.ac.uk","  information  ","makes"," it possible"
"4minutes.co.uk","that the  2SH  ","makes"," much better"
