"corpus","ukwac"
"subcorpus","-"
"concordance size","167386"
"query","Query:[lc=""has"" | lemma_lc=""has""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"mud.co.uk","for mediation"," has","  problems  of"
"advaita.org.uk","also usually"," has",""
"nottinghillhousing.org.uk",", bd, now"," has","  information"
"victorianartinbritain.co.uk","pump"," has","  oil  bubbles"
"socialism.org.uk","archive"," has","  hundreds  of"
"galensgarden.co.uk","the Website"," has","  links  ."
"samoa.co.uk",". This song"," has","  echoes  of the"
"ilook.fsnet.co.uk","Team"," has","  authority"
"orbitsw.co.uk",", and already"," has","  thousands  of"
"martininstitute.ox.ac.uk",") and usually"," has","  ''upper  '' and"
"gfwi.org.uk",". If your child"," has","  vomiting  or"
"pocketgps.co.uk","is the ivy. It"," has","  nothing  to do"
"shopping.excite.co.uk","a trough which"," has","  steps  leading"
"mud.co.uk","the army also"," has","  access  to the"
"raworths.co.uk","F. Everybody"," has","  beauty  . Apart"
"ukspa.org.uk","use, but this"," has","  resource  and"
"martininstitute.ox.ac.uk","the former"," has","  words  that are"
"tonearm.co.uk",": Mill Cottage"," has",""
"readers.penguin.co.uk","funds and"," has","  information"
"businessbureau-uk.co.uk","in. Mr Muchly"," has","  tears  in his"
"psalmody.co.uk","attention. It"," has","  nothing  to do"
"hlst.heacademy.ac.uk","the employer"," has","  difficulty"
"hazlewood-castle.co.uk","By what decree"," has","  salt  been sown"
"lums.lancs.ac.uk","is because it"," has","  information"
"www-micro.msb.le.ac.uk","which"," has","  information"
"bcentral.co.uk","and"," has","  experience"
"skiclub.co.uk",""". The school"," has","  dormitories"
"ouabc.co.uk","generation"," has","  mountains  to"
"confetti.co.uk",". The Spa"," has","  lots  of Health"
"wellerassociates.co.uk","This section"," has","  information"
"thecornerhouse.org.uk",". The block"," has","  security"
"thepixelfarm.co.uk","Rugby Club."," Has","  player"
"liverpoolmuseums.org.uk","the UK. JMU"," has","  offices  in"
"mybrightonandhove.org.uk","the Community"," has","  member"
"thecornerhouse.org.uk",". He"," has","  interests  in"
"martininstitute.ox.ac.uk","Eastbourne"," Has","  anybody"
"insideoutpr.co.uk","(UKCEED) and"," has","  partners  from"
"wellingboroughtownfc.co.uk","Connection"," has","  everything"
"recyclezone.org.uk","service user"," has","  housing  needs"
"fitz.cam.ac.uk","and also"," has","  things  in it"
"richard.clark32.btinternet.co.uk","club and also"," has","  residencies"
"selectideas.co.uk","thinker"," has","  time  for the"
"landforsale-investment.org.uk",", The Summons"," has","  greed  and the"
"vue.org.uk","vi "". This only"," has","  effect  when"
"connells.co.uk","all worlds. It"," has","  agility  ,"
"stonyhurst.ac.uk","intervals. It"," has",""
"talyllyn.co.uk",", and that it"," has","  functions"
"robertbuchanan.mysite.wanadoo-members.co.uk","Council also"," has","  powers  to make"
"peteralan.co.uk","population"," has","  access  to"
"key-arts.co.uk",", 11:52 PM"," has","  anyone"
"carbonflo.co.uk","... because it"," has","  everything"
"ardue.org.uk","at ardor; he"," has","  talent  , and he"
"martininstitute.ox.ac.uk","is this: why"," has","  everyone"
"nimr.mrc.ac.uk",". This unit"," has","  features  and"
"nimr.mrc.ac.uk",". This unit"," has","  features  and"
"scottishtorymeps.org.uk","and Graig Farm"," has","  access  to some"
"tonearm.co.uk","pulpit: "" Who"," has","  knowledge  of a"
"nevadaradio.co.uk",". com"," Has","  anyone  here"
"earthscan.co.uk","or: shock: it"," has","  scenes  of"
"earthscan.co.uk","or: shock: it"," has","  scenes  of"
"earthscan.co.uk","or: shock: it"," has","  scenes  of"
"stonyhurst.ac.uk",", 1788,"," has","  latitude  and"
"friendsreunitedjobs.co.uk","project"," has","  tons  of info on"
"ardue.org.uk",". She"," has","  principles  ,"
"alba.org.uk","to control who"," has","  access  to the"
"ardue.org.uk","; he"," has","  grace  and"
"britishblogs.co.uk","Secondly, KBR"," has","  experience  of"
"authorsonline.co.uk","years old and"," has","  mutation  data"
"socialism.org.uk",". ''Kimono site"," has","  info  on"
"newburytheatre.co.uk","artists"," has","  experience  of"
"micromaterials.co.uk","as though it"," has","  potential-  """
"tonearm.co.uk","apartment"," has","  everything"
"intermusica.co.uk","so that def"," has",""
"sedayne.co.uk","Nigel Slater"," has","  research"
"starfishproject.freeserve.co.uk","years,"," has","  silver  , gold"
"ukspa.org.uk",", which"," has","  implications"
"exeter.ac.uk","as books, it"," has","  lots  of wood in"
"taots.co.uk","medicine and"," has","  expertise  in"
"mabels-tables.co.uk","! Roadrunner"," has","  things"
"ace.abertay.ac.uk","authority"," has",""
"stonyhurst.ac.uk","an early map"," has","  lat  and long"
"jwnash.co.uk",", for example D"," has","  osa  mh"
"ucml.org.uk","Me Back ''"," has","  echoes  of the"
"italian.classic-literature.co.uk","shop that"," has","  jars  of"
"insideoutpr.co.uk","the public"," has","  access  to"
"fastcart.co.uk","musician"," has","  plenty  of"
"martininstitute.ox.ac.uk","Is it just me or"," has","  anyone  else"
"ewradio.co.uk","catalogue now"," has","  sheet  music"
"accfinweb.account.strath.ac.uk","Wife """," has","  bow  , arrows,"
"overclockers.co.uk",". Besides, she"," has","  tears  , sighs,"
"cherryred.co.uk",". km: my box"," has","  b33n  hacked"
"glasgowarchitecture.co.uk","medicinally,"," has","  re-emerged"
"eagle19.freeserve.co.uk","the High Court"," has","  admiralty"
"armedforces.co.uk","the public"," has","  confidence"
"homepages.gold.ac.uk","and therefore"," has","  thousands  of"
"classicmarine.co.uk","etc which"," has",""
"martininstitute.ox.ac.uk","or debate "" and"," has","  nothing  to do"
"masterfind.co.uk","speed Music"," has","  charms  to"
"xibalba.demon.co.uk","that it"," has","  vigour  to"
"persephonebooks.co.uk","ideology,"," has","  nothing  to do"
"yealm-holidays.co.uk","our class"," has","  features  that"
"asa-training.co.uk","anyone who"," has","  information"
"cmf.org.uk","Century page (","has","  pictures  of a"
"chrishardy.co.uk",", which"," has",""
"chrishardy.co.uk","Services Team"," has",""
"classic-literature.co.uk","that"," has","  nothing  to do"
"thepixelfarm.co.uk","technique"," has","  promise  ."
"i-sis.org.uk",". Malta diving"," has","  something  to"
"crewecvs.org.uk","in principle"," has","  choice  ."
"showmelearning.co.uk","Society also"," has","  specialist"
"swiftmedical.co.uk","is because it"," has","  lots  of space"
"wasteonline.org.uk","who knows or"," has","  access  to any"
"techscribe.co.uk","in Geneva. It"," has",""
"tonykline.co.uk","in orange."," Has","  orange"
"william-shakespeare.classic-literature.co.uk","we understand"," has","  confirmation"
"macrobiotics.co.uk",". The stomach"," has","  cells  which"
"macrobiotics.co.uk","population"," has","  heartburn  at"
"cpgb.org.uk","that everyone"," has","  access  to"
"treehuggermums.co.uk","South West?"," Has","  anyone  gone"
"woodlandsfarm.co.uk","making."," Has","  links  with"
"landscapingpavingstone.co.uk","collection"," has","  application"
"careersabroad.co.uk","ensemble that"," has","  pl  ... more"
"spot-on-sundials.co.uk",". progression"," has","  implications"
"spot-on-sundials.co.uk","Branch"," has",""
"northeastnocampaign.co.uk","a boy who"," has","  ADHD  , and has"
"northeastnocampaign.co.uk","Health, who"," has",""
"fabian-society.org.uk","wanted to ask"," has","  anyone  used a"
"fabian-society.org.uk",") and the seat"," has","  cross  legs a"
"fabian-society.org.uk","how the seat"," has","  cross  legs"
"nln.ac.uk","of what"," has","  jut  happened"
"sasdaniels.co.uk","'' often"," has","  overtones  of"
"sasdaniels.co.uk",", but also"," has","  gaps  . These"
"sasdaniels.co.uk","and"," has","  seeds  . It can"
"mysteriousbritain.co.uk",", which"," has","  lift  access,"
"mysteriousbritain.co.uk","of the IHR"," has",""
"cafod.org.uk","of Scotland)"," has","  registers"
"washerhelp.co.uk","Rumsfield."," Has","  anyone  noted"
"hfstephens-museum.org.uk","''. And he"," has","  hope  in the"
"transcomm.ox.ac.uk","Windows Forms"," has","  thread"
"clieuk.co.uk",". It also"," has","  tips  on"
"bfi.org.uk:8080","Ireland"," has","  lead  , to an"
"bfi.org.uk:8080",". Canada"," has","  class  ,"
"bfi.org.uk:8080","society"," has","  nothing  to do"
"shef.ac.uk","copy"," has","  *not*  been"
"mygen.co.uk","and therefore"," has","  relevance  for"
"headheritage.co.uk","peer group,"," has","  difficulties"
"prospect-magazine.co.uk","Ireland"," has","  lead  , to an"
"rhs.org.uk","app. It"," has","  pros  and cons"
"hud.ac.uk","frame"," has","  thresholds"
"freedomministries.org.uk","paths?"," Has","  retrenchment"
"broadcaster.org.uk","community"," has","  weapons"
"big-brother.me.uk",");? He who"," has","  ears  to hear,"
"phrases.org.uk","Ireland"," has","  experience  of"
"jr2.ox.ac.uk","Secretariat."," has","  anyone  ever"
"number-10.gov.uk","ultimately"," has","  choices  and"
"number-10.gov.uk","will always"," has","  something  to"
"greenparty.org.uk","word '' long and"," has","  kind  value 2,"
"paramedic.org.uk","). It"," has","  eleven"
"wessexscene.co.uk","Marathon man?"," has","  typewriter  ,"
"psigate.ac.uk",", and"," has","  patents  for"
"fortunecity.co.uk","Station, and"," has","  facilities"
"ippr.org.uk","of mine who"," has","  trouble"
"kwintessential.co.uk",". Each sport"," has","  details  of"
"big-brother.me.uk","site"," has","  news  about new"
"big-brother.me.uk","This site"," has","  links  to over"
"lentontimes.co.uk","mean that one"," has","  knowledge  of"
"iwar.org.uk","i will end up!"," Has","  anyone  else"
"gfdl.marxists.org.uk",". He"," has","  command  of a"
"icnewcastle.icnetwork.co.uk","after."," Has","  anyone  had the"
"fortunecity.co.uk",". An African"," has","  duties  to"
"defra.gov.uk","stature. It"," has","  character  and"
"defra.gov.uk","stature. It"," has","  character  and"
"defra.gov.uk","stature. It"," has","  character  and"
"defra.gov.uk","stature. It"," has","  character  and"
"www-sedgwick.esc.cam.ac.uk","of a person who"," has","  eye  disease or"
"le.ac.uk","scan also"," has","  options  to"
"rcpbml.org.uk","in decades now"," has",""
"indigogroup.co.uk","Trust"," has","  cherry  picked"
"queens.ox.ac.uk","it also"," has","  card  outer box"
"queens.ox.ac.uk","resistance."," Has","  uni"
"evuk.co.uk","that everyone"," has","  problems  , it"
"cjemicros.co.uk","Director. She"," has","  teaching  and"
"medinfo.co.uk","''s not that she"," has","  anything  to"
"clwww.essex.ac.uk","we have."," has","  anyone  else"
"clwww.essex.ac.uk","this? and"," has","  anybody  tried"
"scips.worc.ac.uk","who"," has",""
"skyscript.co.uk","of this area."," Has","  anyone  heard"
"age-exchange.org.uk","guy in front,"," has","  mines  laid all"
"age-exchange.org.uk","Wipeout still"," has","  plenty  of"
"eoc.org.uk",". It"," has","  swivel  lugs to"
"persephonebooks.co.uk","that everyone"," has","  impairments"
"persephonebooks.co.uk","each person"," has","  value  and"
"pressbox.co.uk","who only"," has","  GCSEs  , is more"
"visitsouthwest.co.uk","authority"," has",""
"ling.ed.ac.uk",", it seems,"," has","  support  acts"
"rousette.org.uk","model that"," has","  nothing  to do"
"gerty.ncl.ac.uk","player if it"," has","  multi-region"
"smoothhound.co.uk",". If he"," has","  something"
"propheticvision.org.uk","vi "". This only"," has","  effect  when"
"hlst.heacademy.ac.uk","District"," has","  everything"
"lateralscience.co.uk",", meanwhile,"," has","  copies  of a 35"
"emco.co.uk","Daggers. It"," has","  moments  of"
"insurgentdesire.org.uk","map now"," has","  plate  number"
"insurgentdesire.org.uk","map now"," has","  plate  number"
"garethjmsaunders.co.uk","occasionally"," has","  news  items of"
"liberty-human-rights.org.uk",". The firm"," has","  experience  in"
"professorharbottle.co.uk","Seth Godin"," has","  something  of a"
"marine.gov.uk","my hon. Friend"," has","  access  to that"
"brunel.ac.uk","leave,"," has","  effect  only in"
"cwn.org.uk","footer, and"," has","  attributes"
"partypants.co.uk","when it"," has","  anything  to do"
"mimas.ac.uk","logo. It"," has","  stop  seconds"
"mimas.ac.uk","the rotor. It"," has","  stop  seconds"
"mimas.ac.uk","logo. It"," has","  stop  seconds"
"mimas.ac.uk","logo. It"," has","  stop  seconds"
"retirement-matters.co.uk","in four years"," has","  nothing  to do"
"retirement-matters.co.uk","terrace, and"," has","  bags  of"
"sais.gov.uk","than us! ! ! She"," has","  loads  of"
"jcrwww.quns.cam.ac.uk","department"," has","  access  to the"
"age-exchange.org.uk","? and she"," has","  plans  for Jeff"
"langtrymanor.co.uk","to have. It"," has","  support  for"
"zem.demon.co.uk","mins: Garcia"," has","  acres  of space"
"zem.demon.co.uk","him, but he"," has","  time  to"
"borinvanloon.co.uk","and"," has","  hearing  loops"
"birminghamfocus.org.uk",". I wonder if it"," has","  something  to"
"smws.co.uk",". Each one"," has","  powers  of a"
"smws.co.uk","up. This game"," has","  everything"
"poetrymagazines.org.uk","officer"," has",""
"cre.gov.uk","the atom"," has","  parts  ,"
"century.guardian.co.uk","Their web site"," has","  information"
"century.guardian.co.uk","BPF website"," has","  information"
"materials.ac.uk","point "" which"," has","  facilities"
"helo.co.uk","beneficial."," Has","  interfaces  to"
"equinetourism.co.uk","agenda that"," has","  nothing  to do"
"frenchconnections.co.uk",": Al Temyat"," has","  acres  of space"
"drivetech.co.uk",", even Paul"," has","  trouble  in his"
"worldwar1.co.uk","family owns"," has","  chrome  wheels"
"dcmt.cranfield.ac.uk","off. Windows"," has","  command  line"
"william-shakespeare.org.uk","room. This"," has","  state  of the"
"ubu.org.uk","decorated and"," has","  everything"
"shipit.co.uk","obviously"," has","  nothing  to do"
"redking.co.uk","man. Not only"," has","  man  committed"
"sndc.demon.co.uk","now and then"," has","  reasons  for"
"brad.ac.uk","Jewell only"," has","  eyes  for"
"monkoptics.co.uk","(FIRST) and"," has","  contacts  with"
"adfam-parents.org.uk","station yard"," has","  picnic  tables"
"ccruni.gov.uk","Target Area"," has",""
"paulcrawford.co.uk","the atom"," has","  parts  ,"
"paulcrawford.co.uk","Going ahead it"," has","  sections  of"
"ind.homeoffice.gov.uk","to Christ"," has","  nothing  to do"
"realclassic.co.uk","web address"," has","  ''uk  '' in it -"
"connells.co.uk","of ONT, and IND"," has","  fares  as low as"
"compbio.dundee.ac.uk","days a week and"," has","  staff  on site"
"safeguardbarriers.co.uk","the poor man"," has","  nothing  on"
"woodforde.co.uk","Each building"," has","  plenty  of"
"proquest.co.uk",". The Saturday"," has","  competitions"
"src.le.ac.uk","in a season,"," has","  anybody  else?"
"usdaw.org.uk","time- spec"," has","  nanosecond"
"usdaw.org.uk",") to see when it"," has","  input  . */"
"moneybasics.co.uk","prints bfi"," has","  brand  new"
"localhistory.scit.wlv.ac.uk","Times"," has","  pictures  of"
"fie.org.uk","The little one"," has","  face  paint on,"
"carcanet.co.uk","the new blog"," has","  none  , my"
"nervous.co.uk","of Scotland"," Has","  anyone  had any"
"aeroflight.co.uk","at all times -"," Has","  knowledge  of"
"aeroflight.co.uk","languages and"," has","  experience  of"
"aeroflight.co.uk","one and"," has","  scope  for"
"taylorbells.co.uk",". St. Luke ''s"," has","  plenty  of"
"kenyabirds.org.uk","(FIRST) and"," has","  contacts  with"
"weddingguide.co.uk","new extension"," has","  windows  with"
"templerecords.co.uk","Winner still"," has","  questions  to"
"templerecords.co.uk","but still"," has","  work  to do to"
"mystical-www.co.uk","diocese"," has","  details  of all"
"rya.org.uk",", as the case"," has","  space  for two"
"hysteria-lives.co.uk","The glossary"," has","  definitions"
"streamcity.co.uk","Lee of Bath"," has","  ideas  about"
"islamic-college.ac.uk",". The increase"," has","  resource  and"
"jardmail.co.uk","which coffee"," has","  cult  status, """
"mythofcreation.co.uk","in life that"," has","  kingdom"
"aimhigher.ac.uk","the job holder"," has","  freedom  to act"
"idler.co.uk","exact paper,"," has","  anyone  found a"
"warwickshire-wildlife-trust.org.uk","hospital"," has","  experience  of"
"raintree-health.co.uk","This book"," has","  advice  in how"
"digitalspy.co.uk","of tools and"," has","  familiarity"
"welhat.gov.uk","a subsidiary"," has","  subsidiaries"
"thefword.org.uk","Manager, who"," has","  skills  in"
"books.kelkoo.co.uk","Agency also"," has",""
"caledonian.ac.uk","Agency site"," has","  advice  on"
"william-shakespeare.org.uk","like a regex (","has","  non-letters  )"
"william-shakespeare.org.uk","set. Perl also"," has","  environment"
"reading.ac.uk",". This last"," has","  photographs"
"brucesfingers.co.uk","who"," has","  access  to, and"
"brucesfingers.co.uk","to, and who"," has","  control  over,"
"brucesfingers.co.uk","and this"," has","  implications"
"inspectormorse.co.uk","and thus"," has","  research"
"cls.ioe.ac.uk","approach"," has","  limitations"
"bps.org.uk","Court"," has","  jurisdiction"
"qcanet.co.uk","! I know he"," has","  talent  , and"
"well.ac.uk",". co. uk"," has","  lists  of UK"
"ecotravel.org.uk","a work that"," has","  problems"
"ecotravel.org.uk","in that film"," has","  elements"
"bmb.leeds.ac.uk","what.... but"," has","  anyone  here"
"theedge.abelgratis.co.uk","the Bible"," has","  something  to"
"insideoutpr.co.uk","mins: Miguel"," has","  bags  of space"
"englishmonarchs.co.uk","Agency"," has","  evidence  that"
"gare.co.uk","of all kinds it"," has","  sections  on"
"find-me-a-gift.co.uk","mins: Emerton"," has","  time  and space"
"familiesonline.co.uk",". CASE 6 A man"," has","  trouble"
"comsys.co.uk","in the group"," has","  something"
"assemblage.group.shef.ac.uk","'', yeah?"," Has","  everyone  seen"
"assemblage.group.shef.ac.uk","Rocket."," Has","  anyone  here"
"assemblage.group.shef.ac.uk","Rocket? Ooh."," Has","  anyone  here"
"jennifermackenzie.co.uk","phase in what"," has","  mo  ... read"
"jennifermackenzie.co.uk","(ippr)"," has","  expertise  ."
"jennifermackenzie.co.uk",", the ippr,"," has","  wel  ... read"
"henry-moore-fdn.co.uk","then, the BBC"," has","  plenty  of"
"practical-martial-arts.co.uk","regimes, and"," has","  sections  on"
"members.lycos.co.uk","Cambridge"," has","  thousands  of"
"search.reviews.ebay.co.uk",". This"," has","  knock-on"
"search.reviews.ebay.co.uk","relative also"," has","  children"
"westyorkshire.police.uk","that"," has","  nothing  to do"
"payaway.co.uk",". The site"," has","  induction"
"v-e-t-s.co.uk",". The fishfarm"," has","  protection"
"cistercian-way.newport.ac.uk","1976. The DCMS"," has",""
"assetprotections.co.uk",", deciding who"," has",""
"longwalls.ncl.ac.uk","dog harness"," has","  straps  that"
"careers.ed.ac.uk","the room, and"," has","  zinc  flues at"
"tonearm.co.uk","which it still"," has","  today  and has"
"connectpa.co.uk","codes"," has","  dimensions"
"p-jones.demon.co.uk","numbers"," has","  length  2, then"
"parentzonescotland.gov.uk","a therapist?"," Has","  anything"
"ias.org.uk","of this kind"," has","  shortcomings"
"poetrymagazines.org.uk","traveller"," has","  everything"
"tuc.org.uk","Sheriff! Bob"," has","  backing"
"healthmatters.org.uk","This site"," has","  information  ,"
"stewardsschool.co.uk",". It"," has","  hundreds  of"
"bond.org.uk","usage still"," has","  room  to grow."
"borkowski.co.uk",") to see when it"," has","  input  . */"
"northill.demon.co.uk",". The garden"," has","  appeal  for all"
"kenyabirds.org.uk","show which"," has","  flashes  of"
"kensington-unitarians.org.uk",". The library"," has","  material  that"
"htlc.hants.gov.uk","screen, so it"," has","  nothing  to do"
"cs.bris.ac.uk","to NYC, MAS"," has","  specials  from"
"compbio.dundee.ac.uk","and agency"," has","  information"
"savoy.abel.co.uk","magazine"," has","  details  of the"
"monju.pwp.blueyonder.co.uk","huntsman who"," has","  control  of the"
"hazelden.org.uk","wisdom"," has","  socialists"
"geologywales.co.uk","well. It also"," has","  articles  on"
"foundationtv.co.uk","product also"," has","  applications"
"greenwichcollege.co.uk","year, Britain"," has","  today  the best"
"greenwichcollege.co.uk","school pupil"," has","  enterprise"
"equinetourism.co.uk",". HAHAHA"," has","  anyone  heard"
"equinetourism.co.uk",". HAHAHA"," has","  anyone  heard"
"equinetourism.co.uk",". HAHAHA"," has","  anyone  heard"
"equinetourism.co.uk",". HAHAHA"," has","  anyone  heard"
"equinetourism.co.uk",". HAHAHA"," has","  anyone  heard"
"eng.cam.ac.uk","after May 19."," Has","  experience"
"farm.org.uk","organisation"," has","  executives  of"
"pondprofessorpumps.co.uk",". For example,"," has","  language  been"
"mandarina.co.uk","plants and"," has","  contacts  with"
"nevadaradio.co.uk","authority. It"," has","  nothing  to do"
