compound,N_tokens_BERT,N_tokens_Llama
airbase,2,2
airbus,1,2
aircraft,1,1
aircrew,3,3
airfield,1,2
airflow,2,2
airforce,2,2
airgun,2,2
airlift,1,3
airline,1,2
airlock,2,2
airman,2,2
airplane,1,2
airport,1,2
airscrew,3,4
airship,1,2
airspace,1,2
airway,2,2
alehouse,2,2
anchorman,2,3
applesauce,3,4
armchair,1,3
armhole,2,2
armpit,2,3
arrowhead,2,2
ashtray,2,3
assemblyman,2,2
asshole,1,3
backache,2,2
backbone,1,2
backside,1,2
bagpipe,2,2
ballgame,2,2
ballroom,1,2
bandstand,3,2
bandwagon,3,3
banknote,2,2
barbell,2,2
barmaid,2,3
barnyard,2,3
bartender,1,3
baseball,1,1
basketball,1,1
bathrobe,3,3
bathroom,1,2
bathtub,2,3
battlefield,1,2
battlefront,2,2
battleground,2,2
battleship,1,3
beachwear,2,3
beanpole,2,2
bearskin,2,3
bedbug,3,2
bedfellow,3,3
bedpost,2,2
bedrock,1,2
bedroom,1,2
bedside,1,2
bedsit,2,3
bedspread,3,3
bedstead,2,3
bedtime,2,2
beefsteak,3,4
beehive,3,3
beeline,2,2
beetroot,3,3
bellhop,2,3
benchmark,2,1
billboard,1,2
billhook,3,2
birdcage,3,3
birdseed,2,2
birthday,1,2
birthplace,1,2
birthrate,2,2
birthweight,2,2
blockhouse,2,2
bloodhound,3,3
bloodlust,3,3
bloodshed,2,3
bloodstream,2,2
blowfish,2,2
blowtorch,3,3
boardroom,2,2
boardwalk,1,2
boathouse,2,3
boatload,2,2
boatyard,2,3
bobcat,2,3
bobsled,3,3
bodyguard,1,2
bodypart,3,3
bodywork,2,2
bombshell,2,2
bonehead,2,3
bookcase,2,2
bookmark,2,2
bookshelf,3,3
bookshop,2,2
bookstall,3,3
bookwork,2,2
bookworm,2,3
bootcamp,2,2
bootlace,2,2
bootleg,2,2
borderline,2,2
boxcar,2,2
boyfriend,1,2
brainchild,2,2
brainpower,2,2
brainstorm,2,3
brainwave,2,2
bratwurst,3,4
breadbasket,2,3
breadboard,2,2
breadfruit,3,3
breastbone,2,2
breastplate,2,2
breaststroke,1,2
breastwork,2,2
brickwork,2,2
bridegroom,3,4
bridgework,2,2
briefcase,1,2
broomstick,2,4
brushstroke,4,3
brushwood,2,3
buckshot,2,3
buckskin,2,4
buckwheat,4,5
bulldog,1,3
bullfight,2,4
bullfrog,3,4
bullring,2,3
bumblebee,3,4
bunkhouse,2,3
businessman,1,2
businesswoman,2,3
buttercup,2,3
butterfly,1,3
buttermilk,3,4
butternut,2,3
butterscotch,3,5
calfskin,2,4
campfire,2,2
campground,1,2
campsite,2,3
candlelight,2,3
candlepower,2,3
candlestick,2,4
candlewick,2,3
cannonball,2,3
cardboard,1,2
carport,2,2
carthorse,2,4
cartwheel,2,3
casebook,2,2
casework,2,2
catfish,1,2
catnap,3,2
catnip,3,3
catwalk,2,2
caveman,2,2
cellblock,2,2
chainmail,2,2
chairlift,2,3
chairperson,1,2
checkbook,2,2
checklist,2,2
checkmate,2,2
checkpoint,1,2
cheekbone,2,3
cheesecake,2,4
cheesecloth,2,5
chessboard,2,3
chickenpox,3,4
childbirth,1,3
chimneypiece,2,5
chimneystack,3,4
chipboard,2,2
churchyard,1,2
clamshell,3,3
claptrap,3,3
classmate,1,2
classroom,1,2
classwork,2,2
cliffhanger,3,4
clipboard,2,2
cloakroom,2,3
clockwork,2,2
clothesline,2,2
clubfoot,2,2
clubhouse,1,2
coachman,2,2
coalface,2,2
coalfield,2,2
coastguard,2,2
coastline,1,2
cockpit,1,3
cockroach,3,4
cocktail,1,3
codfish,2,2
congressman,1,3
congresswoman,2,4
cookbook,2,2
copperplate,2,3
copybook,2,2
copycat,2,2
copyright,1,2
corkscrew,3,5
cornbread,2,3
cornerstone,1,2
cornfield,2,2
cornmeal,3,3
cottonseed,3,3
countryman,2,3
countryside,1,4
courthouse,1,3
courtroom,1,2
courtyard,1,3
covergirl,2,3
cowboy,1,2
cowgirl,2,3
cowslip,2,3
crackpot,2,2
crewman,2,2
crossbow,1,2
crossfire,2,2
crossword,2,2
crowbar,2,2
crowfoot,2,2
crybaby,3,3
cupcake,2,3
daredevil,3,3
dartboard,2,3
dashboard,1,2
database,1,1
daybreak,2,2
daydream,3,3
daylight,1,2
deadline,1,2
deadlock,2,2
deadwood,2,2
deathbed,2,2
deathblow,3,3
deathwatch,2,2
deckhand,2,2
dessertspoon,3,4
dimwit,3,3
dinnertime,2,4
dishcloth,2,4
dockyard,1,2
dogfight,2,3
dogfish,2,2
doghouse,2,2
dogleg,2,2
dollhouse,2,2
doorbell,1,2
doorframe,2,2
doorkeeper,2,2
doorknob,3,4
doorman,2,3
doormat,2,3
doornail,2,3
doorstep,1,2
doorway,1,2
doughnut,2,3
dragonfly,2,3
drainpipe,2,3
drawbridge,2,2
dreadnought,3,3
dreamland,2,2
dressmaker,2,2
driftwood,2,3
driveway,1,2
dropzone,2,2
drugstore,2,2
drumbeat,2,3
drumstick,2,3
duckpond,3,3
duckweed,2,4
dustbin,2,2
dustpan,2,2
dyestuff,4,3
earache,2,2
eardrum,2,3
earmark,2,2
earpiece,2,3
earplug,3,3
earring,2,2
earshot,2,2
earthquake,1,3
earthworm,2,3
earwig,2,2
eggcup,2,2
egghead,2,2
eggnog,3,2
eggplant,3,2
eggshell,2,2
eyeball,2,4
eyebrow,1,4
eyeglass,2,4
eyelash,2,4
eyelid,2,4
eyepiece,2,5
eyesight,2,2
eyestrain,2,4
eyewitness,3,5
facemask,3,3
faceplate,2,2
factsheet,3,2
fairway,2,2
fairyland,2,3
fairytale,2,3
fanlight,2,2
farmhand,2,2
