"corpus","ukwac"
"subcorpus","-"
"concordance size","2120"
"query","Query:[lc=""located"" | lemma_lc=""located""][lc=""in"" | lemma_lc=""in""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"spartacus.schoolnet.co.uk","sales team"," located in","  chino  , CA."
"spartacus.schoolnet.co.uk","sales team"," located in","  chino  , CA."
"thegoodwebguide.co.uk","likely to be"," located in","  interface"
"dca.gov.uk","court is"," located in","  front  of the"
"dur.ac.uk","Picnic Room is"," located in","  front  of"
"cpgb.org.uk","operators """," located in","  areas  of the"
"consumerdirect.gov.uk",". Some maps are"," located in","  mid-air  , or"
"socialistunitynetwork.co.uk","U. S. soldiers"," located in","  combat  areas"
"michaelkelly.fsnet.co.uk","#19). I ''ve not"," located in","  instructions"
"portcities.hartlepool.gov.uk",", three were"," located in","  areas  of new"
"futuremovies.co.uk","was largely"," located in","  province  10"
"bized.ac.uk","if they are"," located in","  batch  . 2. The"
"spartacus.schoolnet.co.uk","conveniently"," located in","  chino  ......"
"stalbans.gov.uk","as"," located in","  patients  ''"
"tibenham.fsnet.co.uk","are usually"," located in","  towns  , far"
"chester.ac.uk","the factories"," located in","  areas  of below"
"transglobal-aerospace.co.uk","company"," located in","  collegeville"
"eatwell.gov.uk","-- devices"," located in","  front  of the"
"isomatic.co.uk","services are"," located in","  hospital"
"defra.gov.uk",". Trains are"," located in","  support  areas"
"iwar.org.uk","4 toilets"," located in","  cemetries  ."
"casi.org.uk","small farmers"," located in","  biodiversity"
"bitc.org.uk",", the ASP is"," located in","  division"
"brianmac.demon.co.uk","embassies are"," located in","  order  to"
"le.ac.uk","and they are"," located in","  university"
"netribution.co.uk","turn need to be"," located in","  terms  of the"
"wdm.org.uk","Ireland."," Located in","  counties"
"burnyourbonus.co.uk","Hotel"," located in","  divanyolu"
"rhul.ac.uk","sites are"," located in","  countries"
"ucisa.ac.uk","are also some"," located in","  town  ... ''"
"spartacus.schoolnet.co.uk","to fail if not"," located in","  proximity  to a"
"transglobal-aerospace.co.uk","nobles are"," located in","  reference  and"
"ciao.co.uk","pupils are"," located in","  classrooms"
"martininstitute.ox.ac.uk","things are"," located in","  space  is"
"archive.food.gov.uk","rooms were"," located in","  cross  wings at"
"passiondiscs.co.uk",", paradise was"," located in","  Mesopotamia  ("
"rhs.org.uk","Through being"," located in","  schools"
"greatwriting.co.uk","the study was"," located in","  city  with a"
"bjhc.co.uk","that rock is"," located in","  relation  to"
"stalbans.gov.uk","workstations"," located in","  libraries  but"
"spartacus.schoolnet.co.uk","MFR COMPANY"," LOCATED IN","  chino  , CA HAS"
"bgsnet.org.uk","in companies"," located in","  areas"
"physiol.ox.ac.uk","This company,"," located in","  hi-tech  heart"
"physiol.ox.ac.uk","This company,"," located in","  hi-tech  heart"
"northlight-images.co.uk","This company,"," located in","  hi-tech  heart"
"northlight-images.co.uk","This company,"," located in","  hi-tech  heart"
"clarence.ndirect.co.uk","This company,"," located in","  hi-tech  heart"
"thefword.org.uk","This company,"," located in","  hi-tech  heart"
"bagpipeworld.co.uk","to be"," located in","  town  centres,"
"eatwell.gov.uk",". They are"," located in","  front  of the"
"cnetwork.co.uk",". '' Nubia is"," located in","  today  ''s"
"darlington.gov.uk",", they are"," located in","  places  which"
"british-history.ac.uk","2,200 staff"," located in","  offices"
"british-history.ac.uk","2,200 staff"," located in","  offices"
"thegoodwebguide.co.uk","in currents"," located in","  places  where"
"lewisham.gov.uk","of its staff"," located in","  offices  in"
"kwintessential.co.uk","is actually"," located in","  position"
"kwintessential.co.uk","is actually"," located in","  position"
