"corpus","ukwac"
"subcorpus","-"
"concordance size","17498"
"query","Query:[lc=""causes"" | lemma_lc=""causes""];Positive filter (excluding KWIC):-1 -1 -1 [tag=""Nc.*""];GDEX:100 "
"stone.newton.cam.ac.uk","the  root  ","causes"," of poverty."
"bayfordkarting.co.uk","''s  atmosphere  ","causes"," problems for"
"bytestart.co.uk","  acceleration  ","causes"," stress much"
"victorianartinbritain.co.uk","high a  speed  ","causes"," loss of"
"arts.guardian.co.uk","  elevation  ","causes"," a"
"victorianartinbritain.co.uk","plate ''s  angle  ","causes"," the cylinders"
"gmgplc.co.uk",". The -d  option  ","causes"," the shell to"
"gmgplc.co.uk",". The -r  option  ","causes"," the shell to"
"gmgplc.co.uk",". The -n  option  ","causes"," the export"
"gmgplc.co.uk",". The -c  option  ","causes"," command to be"
"skyscript.co.uk","  location  ","causes"," an overall"
"legendarydartmoor.co.uk","hunting  foxes  ","causes"," in the"
"sherlock-holmes.classic-literature.co.uk","the  root  ","causes"," of poverty."
"longwalls.ncl.ac.uk","were its  root  ","causes"," would only"
"iwar.org.uk","her the  work  ","causes"," the problem is"
"missiedith.bentbacktulips.co.uk","for  dyslexia  ","causes",". She received"
"epsr-marx-lenin.co.uk","an  originator  ","causes"," an event in or"
"esbhhealth.nhs.uk","This  flag  ","causes"," the receive"
"kno.org.uk","__WARN__  hook  ","causes"," the ordinary"
"gmgplc.co.uk",". The -v  option  ","causes"," a single word"
"lsbu.ac.uk","full  time  ","causes"," excessive"
"epsr-marx-lenin.co.uk","when  o  ","causes"," d is not what we"
"orbitbooks.co.uk",", these  root  ","causes"," are not"
"cwn.org.uk","by  pets  ","causes"," a nuisance."
"greywall.demon.co.uk","  cholerae  ","causes"," the disease by"
"janus.lib.cam.ac.uk","of the  lane  ","causes"," a 30mph"
"drivetech.co.uk","identify  root  ","causes"," of symptoms."
"railart.co.uk","  use  ","causes"," a deficit of"
"ukspa.org.uk","the  disease  ","causes"," the patient ''s"
"bordercrossings.org.uk","  crankshaft  ","causes"," sideways"
"gorleston-on-sea.co.uk","vena  cava  ","causes"," venous"
"gorleston-on-sea.co.uk",";  morphine  ","causes"," spasm of the"
"colley.co.uk","  herpes  ","causes"," painful sores"
"graysathletic.co.uk","  councillor  ","causes"," mixed"
"marine.gov.uk","to  disability  ","causes"," is warmly"
"victorianartinbritain.co.uk","gear by a  shaft  ","causes"," the external"
"gmgplc.co.uk","space in  value  ","causes"," the next word"
"orbitbooks.co.uk","years. Type  B  ","causes"," smaller"
"supertarot.co.uk","  draught  ","causes"," the wood to"
"ess.uwe.ac.uk","cup. A  misstep  ","causes"," the castle to"
"insideoutpr.co.uk","out. His  cross  ","causes"," problems and"
"victorianartinbritain.co.uk",".  Cavitation  ","causes"," the metal in an"
"goddessalive.co.uk","  stress  ","causes"," pain there."
"legendarydartmoor.co.uk","  transport  ","causes"," a problem with"
"hsc.uwe.ac.uk",". His  death  ","causes"," a material"
"oink.demon.co.uk","of  insulin  ","causes"," diabetes. By"
"bayfordkarting.co.uk","a  speculator  ","causes"," a computer"
"courseworkbank.co.uk","insulin  surge  ","causes"," the body to"
"gmgplc.co.uk",". The -l  option  ","causes"," output to be"
"william-shakespeare.org.uk",". This  option  ","causes"," your program"
"crbs.org.uk","This  sequence  ","causes"," the remote"
"tonearm.co.uk","term  populist  ","causes"," for their own"
"fairtrade.org.uk",".  Fear  ","causes"," instinctive"
"bexley.gov.uk","that the  spray  ","causes"," gastric"
"cwn.org.uk","  predicament  ","causes"," real"
"huddersfield1.co.uk",".  Hunting  ","causes"," unnecessary"
"marquee.demon.co.uk","  vector  ","causes"," cancer as well"
"gorleston-on-sea.co.uk","  involvement  ","causes",""
"books.kelkoo.co.uk","B  virus  ","causes"," myocarditis"
"cftrust.org.uk","its  root  ","causes",". Therein,"
"talyllyn.co.uk","with  dogs  ","causes"," damage and"
"uutech.co.uk","treating  root  ","causes"," improves the"
"orgs.man.ac.uk","  sparseness  ","causes"," more than a few"
"addictive247.co.uk","long  hours  ","causes"," safety"
"scottishweddingdirectory.co.uk",". The  second  ","causes"," this error:"
"william-shakespeare.org.uk","  switch  ","causes"," Perl to dump"
"william-shakespeare.org.uk",""". )  -c  ","causes"," Perl to check"
"top50freebies.co.uk","and  revenge  ","causes"," Frank to"
"cleanersafergreener.gov.uk",";  root  ","causes"," such as"
"davidcheethamgardens.co.uk","football  team  ","causes"," a stir when he"
"clarence.ndirect.co.uk","  root  ","causes"," and drivers of"
"acidsmile.co.uk","get to the  root  ","causes"," of problems,"
"news.bbc.co.uk","the  root  ","causes"," of refugee"
"crbs.org.uk","as to the  root  ","causes"," of NPfIT ''s"
"bordercrossings.org.uk","are the  root  ","causes"," to career"
"legendarydartmoor.co.uk"," ","causes"," the foxes eyes"
"teachingenglish.org.uk","money  supply  ","causes"," inflation ("
"william-shakespeare.org.uk","as in awk.  -p  ","causes"," Perl to assume"
"liverpoolmuseums.org.uk","  categories  ","causes"," the regular"
"naldic.org.uk","  pensioner  ","causes",". It is open to"
"gmgplc.co.uk",") for- mats,  %b  ","causes"," printf to"
"urbanforum.org.uk","a  wheelchair  ","causes"," me yet more"
"epsr-marx-lenin.co.uk","mental  events  ","causes"," of later"
"hibberts.co.uk","that  hunting  ","causes"," unacceptable"
"streamcity.co.uk","of single  gene  ","causes"," of some major"
"robertmoir.co.uk","  information  ","Causes"," of"
"victorianartinbritain.co.uk","on piston  B  ","causes"," the pistons to"
"glasgowarchitecture.co.uk","in the  water  ","causes"," CDC fibres to"
"rodge.force9.co.uk","  information  ","causes",""
"whom.co.uk","bit of  wood  ","causes"," several"
"farm.org.uk","approved  bank  ","causes"," any"
"userfocus.co.uk",", or  material  ","causes",", but by one ''s"
"oink.demon.co.uk","  diabetes  ","causes"," so that your"
"radicalroutes.org.uk","at the  root  ","causes"," of housing"
"jennifermackenzie.co.uk","at the  root  ","causes"," of housing"
"higherstate.co.uk","  risk  ","causes"," Army West"
"sherlock-holmes.classic-literature.co.uk","taint  pragma  ","causes"," any"
"ninotchka.co.uk","muscular  pain  ","causes"," restriction"
"windmill.co.uk","  will  ","causes"," anemia"
"royalpioneercorps.co.uk","on the  root  ","causes"," of forced"
"gmgplc.co.uk",". The -p  option  ","causes"," output to be"
"gmgplc.co.uk",". The -p  option  ","causes"," output to be"
"gmgplc.co.uk",". The -l  option  ","causes"," the shell to"
"gmgplc.co.uk",". The -S  option  ","causes"," the mask to be"
"mankind.co.uk","  steroid  ","causes"," coughing when"
"sparklemotion.co.uk","  picture  ","causes"," a stir in"
"invo.org.uk","libel  law  ","causes"," or fails to put"
"ggr-associates.co.uk","your  opponent  ","causes"," your wrestler"
"laptopsdirect.co.uk"," ","causes",""
"antibes.co.uk","  activity  ","causes"," introduced"
"gare.co.uk","That  name  ","causes"," a lot of"
"the-faith.org.uk","  congestion  ","causes"," many"
"huddersfield1.co.uk","of a  woman  ","causes"," a community to"
"zem.demon.co.uk"," ","causes"," most"
"wellerassociates.co.uk",". TMJ  pain  ","causes"," a multitude of"
"mouthulcers.co.uk","Luigi ''s  head  ","causes"," them both to"
"mouthulcers.co.uk","from a  battle  ","causes"," you to lose"
"longleat.co.uk","  medication  ","causes"," this and, as"
"kented.org.uk","  return  ","causes"," the current"
"kented.org.uk","  command  ","causes"," the shell to"
"kented.org.uk","  variables  ","causes"," a check for"
"kented.org.uk","line.  breaksw  ","Causes"," a break from a"
"kented.org.uk",". (+)  rehash  ","Causes"," the internal"
"kented.org.uk","mand  breaksw  ","causes"," execution to"
"users.dircon.co.uk"," ","causes",", says he has"
"vts.rdn.ac.uk","more (my  back  ","causes"," me most pain"
"observer.guardian.co.uk",". Other  root  ","causes"," (e. g."
"fortunecity.co.uk","welfare  terms  ","causes"," what their"
"cain.ulst.ac.uk","  emotions  ","causes"," a different,"
"lse.ac.uk","is,  surgery  ","causes"," them, so"
"res.org.uk",").  Ornithosis  ","causes"," a"
"spotonmarketing.co.uk","e. g.  malaria  ","causes"," flu like"
"rmd.dft.gov.uk","the  root  ","causes"," is essential."
"poetrymagazines.org.uk","the  root  ","causes"," of poverty."
"shaneglobal.co.uk","consider  ''the  ","causes"," which lead to"
"landforsale-investment.org.uk","the  root  ","causes"," of poverty."
"newempiretheatre.co.uk","  knowledge  ","causes"," strife within"
"royalpioneercorps.co.uk","and their  root  ","causes",", and to"
"tutorials.beginners.co.uk",", as the  strain  ","causes"," the professor"
"cetis.ac.uk","  disclosure  ","causes"," "" substantial"
"bibic.org.uk","  dereliction  ","causes"," further"
"paperworkscardcraft.co.uk","  independence  ","causes"," a nationalist"
"professorharbottle.co.uk","to treat  root  ","causes"," and not just"
"mythofcreation.co.uk","until the  root  ","causes"," of LGBT health"
"buildyourown.org.uk","of  vision  ","causes"," the whole"
"businessbureau-uk.co.uk",".  Smoking  ","causes"," your body to"
"chinese-embassy.org.uk","  release  ","causes"," other"
"fylde.demon.co.uk","crack  cocaine  ","causes"," in our City """
"integralis.co.uk","  overdose  ","causes"," increased INR"
"spacecentre.co.uk","  disclosure  ","causes"," no harm to the"
"cwn.org.uk","  manner  ","causes"," mayhem in a"
"mimas.ac.uk","your right  eye  ","causes"," you to sin,"
"mimas.ac.uk","right  hand  ","causes"," you to sin, cut"
"paulcrawford.co.uk","  condition  ","causes"," a special"
"paulcrawford.co.uk",". Erase  line  ","Causes"," the deletion"
"debate.org.uk","  nature  ","causes",""
"artatwalsall.org.uk","  fighting  ","causes"," as diverse as a"
"path.cam.ac.uk","the  ERA  ","causes"," an increase in"
"c2c-guide.co.uk","at the  root  ","causes"," of housing"
"accfinweb.account.strath.ac.uk","  paracetamol  ","causes"," liver damage"
"magic-spells.co.uk","the first  dose  ","causes"," a sudden fall"
"transgirl.co.uk","talk of  ''root  ","causes"," '': history, it"
"ggr-associates.co.uk","of the  earth  ","causes"," the wind to"
"ggr-associates.co.uk","air  pressure  ","causes"," the air to rise"
"eprints.whiterose.ac.uk","  Malnutrition  ","causes"," five out of"
"diamondhunt.co.uk","  messages  ","causes"," unexplained"
"mybrightonandhove.org.uk",". Lack of  sleep  ","causes"," fatigue, thus"
"beta.communities.msn.co.uk","on the  video  ","causes"," you to lose"
"acidsmile.co.uk","of the  root  ","causes"," that force"
"icbirmingham.icnetwork.co.uk","of the  root  ","causes"," of the social"
"studenthealth.co.uk","with  dogs  ","causes"," unacceptable"
"qmir.dcs.qmul.ac.uk","space in  value  ","causes"," the next word"
"qmir.dcs.qmul.ac.uk",". The -v  option  ","causes"," a single word"
"qmir.dcs.qmul.ac.uk",". The -c  option  ","causes"," command to be"
"qmir.dcs.qmul.ac.uk",". The -n  option  ","causes"," the export"
"qmir.dcs.qmul.ac.uk",". The -r  option  ","causes"," the shell to"
"qmir.dcs.qmul.ac.uk",". The -d  option  ","causes"," the shell to"
"qmir.dcs.qmul.ac.uk",". The -l  option  ","causes"," output to be"
"qmir.dcs.qmul.ac.uk",") for- mats,  %b  ","causes"," printf to"
"qmir.dcs.qmul.ac.uk",". The -p  option  ","causes"," output to be"
"qmir.dcs.qmul.ac.uk",". The -p  option  ","causes"," output to be"
"qmir.dcs.qmul.ac.uk",". The -l  option  ","causes"," the shell to"
"qmir.dcs.qmul.ac.uk",". The -S  option  ","causes"," the mask to be"
"thenewspaper.org.uk","heat  stress  ","causes"," Army aircrew"
"compbio.dundee.ac.uk","the  hare  ","causes"," terror. The"
"compbio.dundee.ac.uk",". If any  person  ","causes"," or assists at,"
"cleanersafergreener.gov.uk","or  knowledge  ","causes"," major"
"barclayfarmhouse.co.uk","a single  act  ","causes"," disparate"
"jwnash.co.uk","the  root  ","causes"," behind a"
"jwnash.co.uk","to the  root  ","causes"," of problems"
"webstar.co.uk","g. Fire  coral  ","causes"," a stinging and"
"www2.warwick.ac.uk",". If this  diet  ","causes"," symptoms such"
"heraldav.co.uk",".  Flooding  ","causes"," millions of"
"geog.cam.ac.uk",". Because  life  ","causes"," Cancer does"
