"corpus","ukwac"
"subcorpus","-"
"concordance size","271154"
"query","Query:[lc=""is"" | lemma_lc=""is""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"studentcentral.co.uk","is not gold,"," is","  copper  . Min. ="
"martininstitute.ox.ac.uk","dialect"," is","  fun  to listen"
"britishblogs.co.uk","11 protection"," is","  part  of a deal"
"xibalba.demon.co.uk","''s answer"," is","  power  -"
"victorianartinbritain.co.uk",". Slippage"," is","  oil  leaking"
"baas.ac.uk","clothes. Here"," is","  mercy  ; here is"
"medievalfreeco.org.uk","). Some"," is",""
"pointlessnostalgic.co.uk","everything """," is","  string  theory"
"thamesmatch.co.uk","be archived"," is","  something"
"darknessandlight.co.uk","n''t tell you"," is","  anything  else"
"martininstitute.ox.ac.uk","Language"," is","  something"
"lums.lancs.ac.uk","... now this"," is","  empowerment  ."
"thecornerhouse.org.uk",", my advice"," is","  act  now. "" 3."
"ageconcern.org.uk","means that it"," is","  piece"
"vacant.org.uk","that it"," is","  time  for"
"oink.demon.co.uk","n''t need again"," is","  insulin  . Are"
"scottishtorymeps.org.uk","you. If there"," is","  anything  you"
"sandstonevolunteers.nildram.co.uk","at Glasgow. It"," is","  part  of a wider"
"learningtechnologies.co.uk","second year,"," is","  part  of the"
"twgraduates.co.uk","than it"," is","  today  is in"
"lums.lancs.ac.uk","language"," is","  language  that"
"dancecity.co.uk","principles"," is",""
"sainsburysbank.co.uk",": "" this"," is","  news  indeed!"
"generous.org.uk","thinks she"," is","  gods  gift! ! ! !"
"martininstitute.ox.ac.uk","and butchered"," is","  murder  to me ("
"csa.gov.uk","motive"," is","  service  , not"
"ageconcern.org.uk","is no and that"," is","  whe  n you copy a"
"lums.lancs.ac.uk","deal and there"," is","  nothing  to"
"the-philosopher.co.uk","jewellery"," is","  hand  finished"
"key-arts.co.uk","list. He also"," is","  something  of a"
"ageconcern.org.uk",". There"," is","  traffic  , a"
"samoa.co.uk","tracks, there"," is","  alway  a gem"
"ownersdirect.co.uk","of whisky as it"," is","  today  ."
"peteralan.co.uk",". "" Our aim"," is","  sanitation"
"the-morningstar.co.uk","of poole. com"," is","  copyright  of"
"generous.org.uk","soon, reason"," is","  coz  she s not"
"medievalfreeco.org.uk","list if there"," is","  ''no  serious"
"martininstitute.ox.ac.uk","that is needed"," is","  lots  of"
"talyllyn.co.uk",". There"," is","  nothing  in any"
"oink.demon.co.uk","hormones"," is","  insulin  ."
"talyllyn.co.uk","clear, there"," is","  nothing  in the"
"medievalfreeco.org.uk","for any expert"," is","  objectivity"
"dancecity.co.uk","to plan"," is","  part  of an"
"samoa.co.uk","'' album, which"," is","  streets  ahead"
"cwn.org.uk","factor"," is","  media"
"twgraduates.co.uk",": This"," is","  ''pants  ''."
"been2nene.co.uk","The Caribbean"," is","  something  of"
