compound,modifier,head,interpretation,type
airbase,air,base,airbase,same
airbase,air,base,base about air,H about M
airbase,air,base,base by air,H by M
airbase,air,base,base caused by air,H caused by M
airbase,air,base,base causes air,H causes M
airbase,air,base,base causing air,H causing M
airbase,air,base,base that causes air,H that causes M
airbase,air,base,base during air,H during M
airbase,air,base,base for air,H for M
airbase,air,base,base from air,H from M
airbase,air,base,base has air,H has M
airbase,air,base,base having air,H having M
airbase,air,base,base that has air,H that has M
airbase,air,base,air has base,M has H
airbase,air,base,air having base,M having H
airbase,air,base,air that has base,M that has H
airbase,air,base,base is air,H is M
airbase,air,base,base being air,H being M
airbase,air,base,base that is air,H that is M
airbase,air,base,base location is air,H location is M
airbase,air,base,base whose location is air,H whose location is M
airbase,air,base,base located on air,H located on M
airbase,air,base,air location is base,M location is H
airbase,air,base,air whose location is base,M whose location is H
airbase,air,base,air located on base,M located on H
airbase,air,base,base made of air,H made of M
airbase,air,base,base makes air,H makes M
airbase,air,base,base making air,H making M
airbase,air,base,base that makes air,H that makes M
airbase,air,base,base used by air,H used by M
airbase,air,base,base uses air,H uses M
airbase,air,base,base using air,H using M
airbase,air,base,base that uses air,H that uses M
airbase,air,base,base located in air,H located in M
airbase,air,base,base located at air,H located at M
airbase,air,base,air located in base,M located in H
airbase,air,base,air located at base,M located at H
aircrew,air,crew,aircrew,same
aircrew,air,crew,crew about air,H about M
aircrew,air,crew,crew by air,H by M
aircrew,air,crew,crew caused by air,H caused by M
aircrew,air,crew,crew causes air,H causes M
aircrew,air,crew,crew causing air,H causing M
aircrew,air,crew,crew that causes air,H that causes M
aircrew,air,crew,crew during air,H during M
aircrew,air,crew,crew for air,H for M
aircrew,air,crew,crew from air,H from M
aircrew,air,crew,crew has air,H has M
aircrew,air,crew,crew having air,H having M
aircrew,air,crew,crew that has air,H that has M
aircrew,air,crew,air has crew,M has H
aircrew,air,crew,air having crew,M having H
aircrew,air,crew,air that has crew,M that has H
aircrew,air,crew,crew is air,H is M
aircrew,air,crew,crew being air,H being M
aircrew,air,crew,crew that is air,H that is M
aircrew,air,crew,crew location is air,H location is M
aircrew,air,crew,crew whose location is air,H whose location is M
aircrew,air,crew,crew located on air,H located on M
aircrew,air,crew,air location is crew,M location is H
aircrew,air,crew,air whose location is crew,M whose location is H
aircrew,air,crew,air located on crew,M located on H
aircrew,air,crew,crew made of air,H made of M
aircrew,air,crew,crew makes air,H makes M
aircrew,air,crew,crew making air,H making M
aircrew,air,crew,crew that makes air,H that makes M
aircrew,air,crew,crew used by air,H used by M
aircrew,air,crew,crew uses air,H uses M
aircrew,air,crew,crew using air,H using M
aircrew,air,crew,crew that uses air,H that uses M
aircrew,air,crew,crew located in air,H located in M
aircrew,air,crew,crew located at air,H located at M
aircrew,air,crew,air located in crew,M located in H
aircrew,air,crew,air located at crew,M located at H
airfield,air,field,airfield,same
airfield,air,field,field about air,H about M
airfield,air,field,field by air,H by M
airfield,air,field,field caused by air,H caused by M
airfield,air,field,field causes air,H causes M
airfield,air,field,field causing air,H causing M
airfield,air,field,field that causes air,H that causes M
airfield,air,field,field during air,H during M
airfield,air,field,field for air,H for M
airfield,air,field,field from air,H from M
airfield,air,field,field has air,H has M
airfield,air,field,field having air,H having M
airfield,air,field,field that has air,H that has M
airfield,air,field,air has field,M has H
airfield,air,field,air having field,M having H
airfield,air,field,air that has field,M that has H
airfield,air,field,field is air,H is M
airfield,air,field,field being air,H being M
airfield,air,field,field that is air,H that is M
airfield,air,field,field location is air,H location is M
airfield,air,field,field whose location is air,H whose location is M
airfield,air,field,field located on air,H located on M
airfield,air,field,air location is field,M location is H
airfield,air,field,air whose location is field,M whose location is H
airfield,air,field,air located on field,M located on H
airfield,air,field,field made of air,H made of M
airfield,air,field,field makes air,H makes M
airfield,air,field,field making air,H making M
airfield,air,field,field that makes air,H that makes M
airfield,air,field,field used by air,H used by M
airfield,air,field,field uses air,H uses M
airfield,air,field,field using air,H using M
airfield,air,field,field that uses air,H that uses M
airfield,air,field,field located in air,H located in M
airfield,air,field,field located at air,H located at M
airfield,air,field,air located in field,M located in H
airfield,air,field,air located at field,M located at H
airforce,air,force,airforce,same
airforce,air,force,force about air,H about M
airforce,air,force,force by air,H by M
airforce,air,force,force caused by air,H caused by M
airforce,air,force,force causes air,H causes M
airforce,air,force,force causing air,H causing M
airforce,air,force,force that causes air,H that causes M
airforce,air,force,force during air,H during M
airforce,air,force,force for air,H for M
airforce,air,force,force from air,H from M
airforce,air,force,force has air,H has M
airforce,air,force,force having air,H having M
airforce,air,force,force that has air,H that has M
airforce,air,force,air has force,M has H
airforce,air,force,air having force,M having H
airforce,air,force,air that has force,M that has H
airforce,air,force,force is air,H is M
airforce,air,force,force being air,H being M
airforce,air,force,force that is air,H that is M
airforce,air,force,force location is air,H location is M
