"corpus","ukwac"
"subcorpus","-"
"concordance size","2432584"
"query","Query:[lc=""for"" | lemma_lc=""for""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"exeter.ac.uk","are used"," for","  cricket  . If"
"xibalba.demon.co.uk","language"," for","  sociology  ."
"martininstitute.ox.ac.uk","J. K Rowlings,"," for","  example  ,"
"ageconcern.org.uk","any money"," for","  visitor  reads"
"martininstitute.ox.ac.uk","scottish term"," for","  child  similar"
"ageconcern.org.uk","are eligible"," for","  payment  for"
"bobsticks.co.uk","foundations"," for","  houses  , the"
"martininstitute.ox.ac.uk","most obvious"," for","  PC  users is """
"ageconcern.org.uk","unwilling"," for","  change  . Thank"
"ageconcern.org.uk","designated"," for","  u-rate-it  ."
"chichesterjazzclub.co.uk","However, it is"," for","  institutions"
"exeter.ac.uk","the librarian"," for","  details  . The"
"letsgogardening.co.uk","paint jobs"," for","  laptops  . An"
"chichesterjazzclub.co.uk","students"," for","  employment  ."
"ageconcern.org.uk","designated"," for","  u-rate-it  ."
"hi-europe.co.uk","possessing"," for","  sale  or"
"xibalba.demon.co.uk","a mechanism"," for","  evolution  and"
"vacant.org.uk","that it is time"," for","  accountants"
"chichesterjazzclub.co.uk","point"," for",""
"hi-europe.co.uk","who brings,"," for","  example  ,"
"martininstitute.ox.ac.uk","doing it!"," For","  example  ,"
"hi-europe.co.uk","is entered"," for","  customs"
"martininstitute.ox.ac.uk","post office,"," for","  example  . It"
"martininstitute.ox.ac.uk","with a love"," for","  linguistics"
"ageconcern.org.uk","around here"," for","  reasons  other"
"exeter.ac.uk","to row just"," for","  fun  ,"
"dptac.gov.uk","would cover,"," for","  example  , a"
"martininstitute.ox.ac.uk","all on its own,"," for","  example  """
"martininstitute.ox.ac.uk","at UNI. (short"," for","  university  );"
"key-arts.co.uk","a stunt baby"," for","  Mothercare"
"ageconcern.org.uk","same applies"," for","  italics  ."
"exeter.ac.uk","Keynes house"," for","  £2  , or bought"
"exeter.ac.uk","MCR at 7 p. m."," for","  sherry  before"
"hi-europe.co.uk",", may look"," for","  guidance  to a"
"martininstitute.ox.ac.uk","so not right ''"," for","  example  . All"
"antcarparts.co.uk","to make a will"," for","  reasons  best"
"dptac.gov.uk","requirement"," for",""
"martininstitute.ox.ac.uk","countries"," for","  years  - ever"
"chichesterjazzclub.co.uk","grounding"," for","  progression"
"exeter.ac.uk","the country"," for","  student"
"xibalba.demon.co.uk","a distaste"," for","  ''positivist"
"exeter.ac.uk","in College"," for","  storage  of any"
"martininstitute.ox.ac.uk","may be edited"," for","  length  and"
"ageconcern.org.uk","being paid"," for","  work  while"
"martininstitute.ox.ac.uk","Tautologies,"," for","  example  :"
"ageconcern.org.uk",". Thank you"," for","  reading  . All"
"bobsticks.co.uk","county jail"," for","  felons  and"
"dptac.gov.uk",". This covers,"," for","  example  ,"
"tonearm.co.uk","to Hadamar"," for","  starvation  up"
"martininstitute.ox.ac.uk",". Look back,"," for","  exmaple  , to"
"birminghamfoe.org.uk","make you yell"," for","  mercy  ! "" """
"vacant.org.uk","the adoption"," for","  knowledge"
"martininstitute.ox.ac.uk","."," For","  example  , the"
"tonearm.co.uk","patients"," for","  starvation"
"exeter.ac.uk","some flats"," for","  couples  )."
"tps.org.uk","application (","for","  review  ) prior"
"key-arts.co.uk","waiting"," for","  ''Den  '' to come"
"ageconcern.org.uk","mmed. I looked"," for","  input  and"
"tps.org.uk",". prc files (","for","  example  ). You"
"badgirls.co.uk","the context"," for","  design  as an"
"tps.org.uk","only offered"," for","  deletion  and"
"xibalba.demon.co.uk","love of beauty"," for","  beauty  ''s sake"
"exeter.ac.uk","designed"," for","  students  ."
"tps.org.uk","used"," for","  something"
"xibalba.demon.co.uk","cure"," for","  athlete  ''s"
"letsgogardening.co.uk","PC industry"," for","  style  and"
"birminghamfoe.org.uk","and selling,"," for","  instance  , """
"letsgogardening.co.uk","looking"," for","  something"
"dptac.gov.uk","invoicing"," for","  goods  and"
"ageconcern.org.uk","tha n they were"," for","  dooyoo  ("
"xibalba.demon.co.uk","to be that,"," for","  reasons"
"ageconcern.org.uk","positive note"," for","  u-rate-it  for"
"xibalba.demon.co.uk","a question"," for",""
"letsgogardening.co.uk","desktop cases"," for","  individuals"
"martininstitute.ox.ac.uk","a ''DRORING ''"," for","  heaven  ''s sake"
"martininstitute.ox.ac.uk","English word"," for","  child  . Laura"
"tps.org.uk","are offered"," for","  deletion  on"
"key-arts.co.uk","served time"," for","  murder  in the"
"martininstitute.ox.ac.uk","to school"," for","  linguistics  I"
"vacant.org.uk",". This is true,"," for","  example  , of"
"martininstitute.ox.ac.uk","have sympathy"," for","  teachers  and"
"martininstitute.ox.ac.uk","changes"," for","  words  such as"
"exeter.ac.uk","''s Street)"," for","  sandwiches"
"tonearm.co.uk","had to be ready"," for","  transport  ."
"tps.org.uk","file"," for","  deletion  was"
"vacant.org.uk","itself."," For","  example  ,"
"exeter.ac.uk","facilities,"," for","  example  , a bar"
"antcarparts.co.uk","be on the watch"," for","  lizards  ,"
"martininstitute.ox.ac.uk","in Newcastle"," for","  ages  , rhymes"
"ageconcern.org.uk","your credit in"," for","  gift  vouchers"
"vacant.org.uk","considering,"," for","  example  : What"
"tonearm.co.uk","need"," for","  recognition"
"chichesterjazzclub.co.uk","IMPLICATIONS"," FOR","  PRACTICE  AT"
"letsgogardening.co.uk","are looking"," for","  ways  to make"
"martininstitute.ox.ac.uk","of seven ''"," for","  time  ) is an"
"tonearm.co.uk","famous figure"," for","  advertising"
"tonearm.co.uk","unless a "" law"," for","  annihilation"
"tonearm.co.uk","whom she asked"," for","  directions  to"
"martininstitute.ox.ac.uk","any meaning"," for","  example"
"vacant.org.uk","areas - see"," for","  example"
"ownersdirect.co.uk","in 2002"," for","  £5.4m  by the"
"ownersdirect.co.uk","jailed"," for","  theft  , not"
"jdhooker.org.uk","Friday seats"," for","  dressage  are"
"jdhooker.org.uk","","For",""
"jdhooker.org.uk","2:1 offer"," for","  horse  trials"
"jdhooker.org.uk",": Save"," for","  death  or"
"geologywales.co.uk","? The market"," for","  mergers"
"solid-edge.co.uk","that pipped it"," for","  Michelle  , "" he"
"solid-edge.co.uk","company"," for","  £4m  and has"
"medievalfreeco.org.uk","returns,"," for","  example  , the"
"medievalfreeco.org.uk","sources"," for","  use  in asylum"
"medievalfreeco.org.uk","the situation"," for","  Hindus  and"
"medievalfreeco.org.uk","in a country (","for","  example  ,"
"medievalfreeco.org.uk","advocates"," for","  victims  , and"
"medievalfreeco.org.uk","information,"," for","  others  it"
"medievalfreeco.org.uk","."," For","  example  , the"
"medievalfreeco.org.uk","been checked"," for","  currency  , and"
"medievalfreeco.org.uk","in France,"," for","  example  ,"
"medievalfreeco.org.uk",". Requests"," for","  documents  on"
"medievalfreeco.org.uk","be too late"," for","  use  in an"
"medievalfreeco.org.uk","too late"," for","  use  in an"
"medievalfreeco.org.uk","been checked"," for","  currency  , and"
"medievalfreeco.org.uk","referring."," For","  example  no"
"medievalfreeco.org.uk","Policy."," For","  example  : 1."
"medievalfreeco.org.uk","is said, ''If,"," for","  example  , an"
"medievalfreeco.org.uk","country."," For","  example  , if"
"medievalfreeco.org.uk","its reasons."," For","  example  ,"
"medievalfreeco.org.uk","evidence"," for","  matters"
"medievalfreeco.org.uk","relevant"," for","  asylum"
"medievalfreeco.org.uk","on countries"," for","  use  in making"
"brigglife.co.uk","be good news"," for","  gamers  ,"
"brigglife.co.uk","who cover it,"," for","  example  ? """
"rcpsglasg.ac.uk","a surcharge."," For","  example  , if"
"rcpsglasg.ac.uk","and is liable"," for","  surcharge"
"carbonflo.co.uk","to get ready"," for","  school  so I"
"carbonflo.co.uk","empty cartons"," for","  lampshades  ,"
"carbonflo.co.uk","pools"," for","  sardines  , to"
"carbonflo.co.uk",". R Leach, 58"," For","  breakfast  - to"
"carbonflo.co.uk","everything"," for","  pudding  and I"
"carbonflo.co.uk","E- Excellent"," for","  parties  S-"
"carbonflo.co.uk","97"," For","  years  , I was a"
"carbonflo.co.uk","the empty tubs"," for","  painting  ,"
"carbonflo.co.uk","to dunk"," for","  apples  in, an"
"oink.demon.co.uk","the potential"," for","  problems  . In"
"oink.demon.co.uk","treatment"," for","  patients  with"
"the-philosopher.co.uk","their beauty"," for","  years  to come."
"christian.org.uk","keep fighting"," for","  justice  ."
"christian.org.uk","compensation"," for","  pensions  lost"
"christian.org.uk","''re not asking"," for","  handouts  , """
"christian.org.uk",". He had worked"," for","  label  maker"
"christian.org.uk","me. Our plans"," for","  retirement"
"christian.org.uk",". Alun worked"," for","  ASW  for 33"
"cwn.org.uk","''GAZE '' theory"," for","  radio  ? ''Radio"
"cwn.org.uk","of deduction,"," for","  radio  . It is"
"cwn.org.uk","''s language,"," for","  example  - and"
"cwn.org.uk","master theory"," for","  radio  ),"
"cwn.org.uk","is no chance"," for","  coherence  in"
"cwn.org.uk","will not do"," for","  radio  . The"
"cwn.org.uk","a limited way."," For","  radio"
"cwn.org.uk","deviance,"," for","  example  ."
"cwn.org.uk","will not do"," for","  radio  . It"
"cwn.org.uk",". The search"," for","  radio"
"cwn.org.uk","with the need"," for","  higher-order"
"cwn.org.uk",", 1994, 55"," for","  film  ''s"
"cwn.org.uk","involved in,"," for","  example  ,"
"cwn.org.uk","Goffman"," for","  ''frames  '' in"
"cwn.org.uk","1996, 25"," for","  film"
"dancecity.co.uk","one another"," for","  support  among"
"dancecity.co.uk","acting"," for","  anything  as an"
"dancecity.co.uk","","for","  organisation"
"dancecity.co.uk","suggests that"," for","  cognition  to"
"dancecity.co.uk","an aptitude"," for","  purposes"
"dancecity.co.uk","responsible"," for","  futurity  just"
"karibuni.co.uk","page at click"," for","  details  and"
"handicap-international.org.uk","for 20 to 40 eb"," for","  lunch  and 25 to"
"handicap-international.org.uk","and 25 to 60"," for","  dinner  . It is"
"handicap-international.org.uk",". Its packed"," for","  breakfast"
"rdmengineering.co.uk","a shout"," for","  leg-before  as"
"rdmengineering.co.uk","coverage."," For","  everything  . """
"horseracingbets.co.uk","apart."," For","  example  , the"
"horseracingbets.co.uk","''s mutual."," For","  example  , if"
"horseracingbets.co.uk","The beauty of,"," for","  example  ,"
"horseracingbets.co.uk","situation."," For","  example  , not"
"horseracingbets.co.uk","profes-sion."," For","  instance  , the"
"horseracingbets.co.uk","be an issue"," for","  preservation"
"horseracingbets.co.uk","story."," For","  example  , I ''m"
"horseracingbets.co.uk","abroad,"," for","  example  for La"
"horseracingbets.co.uk",". If you ask"," for","  reasons  in"
"fantasyfactory.co.uk","equal shares"," for","  everyone  ."
"fantasyfactory.co.uk","any apple pie"," for","  dessert  . Alex"
"fantasyfactory.co.uk","rest of them"," for","  eviction  , and"
"fantasyfactory.co.uk","two are up"," for","  nomination  ."
"fantasyfactory.co.uk","they are up"," for","  eviction  , and"
"fantasyfactory.co.uk","head"," for","  ''Hollyoaks  ''"
"peteralan.co.uk","blocks"," for","  men  and women."
"peteralan.co.uk","toilet"," for","  children  -"
"peteralan.co.uk","are waiting"," for","  change  . The"
"blog.outofthebedroom.co.uk","levels needed"," for","  water  to flow"
"mariners-l.co.uk","computers,"," for","  example  , we"
"mariners-l.co.uk","computer."," For","  example  , the"
"mariners-l.co.uk","the main route"," for","  traffic"
"mariners-l.co.uk","a regular site"," for","  congregation"
"languagesabroad.co.uk","(UK only)."," For","  orders"
"bordercrossings.org.uk","together,"," for","  example  by"
"bordercrossings.org.uk","than 20°. Even"," for","  events  as"
"bordercrossings.org.uk",", check"," for","  post  , phone"
"propheticvision.org.uk","had potential"," for","  problems  -"
"propheticvision.org.uk","journey time"," for","  traffic"
"propheticvision.org.uk","- and stopped"," for","  breakfast  at a"
"afs.org.uk","resource"," for","  people  of all"
"jollyfarmer.co.uk","investigated"," for","  cruelty  for"
"jollyfarmer.co.uk","purpose is"," for","  housing"
"jollyfarmer.co.uk",", and not"," for","  tests  on them."
"talyllyn.co.uk","as tenders"," for","  furniture  and"
"talyllyn.co.uk","as a conduit"," for","  information  ."
"talyllyn.co.uk","rights"," for","  members  of the"
