"corpus","ukwac"
"subcorpus","-"
"concordance size","1879916"
"query","Query:[lc=""has"" | lemma_lc=""has""];Positive filter (excluding KWIC):-1 -1 -1 [tag=""Nc.*""];GDEX:100 "
"peteralan.co.uk","  children  ","has"," fallen from 73"
"samoa.co.uk","  ''Everybody  ","Has"," Some Dues To"
"peteralan.co.uk",", the  figure  ","has"," gone down from"
"rcpsglasg.ac.uk","the  appeal  ","has"," to be made"
"tonearm.co.uk","medical  skill  ","has"," failed to keep"
"peteralan.co.uk","  government  ","has"," grudgingly"
"peteralan.co.uk","issue of  water  ","has"," become"
"crbs.org.uk","a  connection  ","has"," been opened,"
"peteralan.co.uk","  WaterAid  ","has"," come up with an"
"jollyfarmer.co.uk",", the  battle  ","has"," been won."
"samoa.co.uk",". This  song  ","has"," echoes of the"
"samoa.co.uk","woman. This  CD  ","has"," been lovingly"
"samoa.co.uk",". This  song  ","has"," stopped me"
"bordercrossings.org.uk","  development  ","has"," been uniquely"
"medievalfreeco.org.uk","the  homepage  ","has"," been given not"
"baas.ac.uk","God the  family  ","has"," a far greater"
"samoa.co.uk","one  person  ","has"," reviewed an"
"placeboworld.co.uk","! P. S. A  sinus  ","has"," cleared I know"
"jollyfarmer.co.uk",". This  quote  ","has"," become a stock"
"solid-edge.co.uk","But the  second  ","has"," performed"
"horseracingbets.co.uk","tabula  rasa  ","has"," had a very"
"martininstitute.ox.ac.uk","  change  ","has"," to be the use of"
"christian.org.uk","  government  ","has"," let us down"
"medievalfreeco.org.uk","that  standard  ","has"," been met. 4."
"ageconcern.org.uk","v) Your  credit  ","has"," no monetary"
"dancecity.co.uk","which  biology  ","has"," hitherto been"
"cwn.org.uk","so much  time  ","has"," been spent in"
"hsc.uwe.ac.uk",". As the  author  ","has"," drawn him, his"
"medievalfreeco.org.uk","relevant  link  ","has"," been included"
"christian.org.uk","  government  ","has"," chosen not to"
"fantasyfactory.co.uk","The  turkey  ","has"," been taken out"
"oink.demon.co.uk","  research  ","has"," been"
"bordercrossings.org.uk","  events  ","has"," been modified"
"samoa.co.uk","  delivery  ","has"," been turning"
"dancecity.co.uk","on this  topic  ","has"," provided an"
"samoa.co.uk","''. The  man  ","has"," been very"
"peteralan.co.uk",". The  colony  ","has"," no latrines,"
"jollyfarmer.co.uk","""? The  leaflet  ","has"," seven points."
"dancecity.co.uk","  experiments  ","has"," sufficiently"
"horseracingbets.co.uk",":  everything  ","has"," become the"
"hi-europe.co.uk","% - this  figure  ","has"," improved"
"samoa.co.uk","that her  sound  ","has"," been compared"
"ageconcern.org.uk","of my best  work  ","has"," been removed ("
"rdmengineering.co.uk","that his  head  ","has"," been shaved,"
"rcpsglasg.ac.uk",". Once  default  ","has"," occurred it"
"peteralan.co.uk","  population  ","has"," access to"
"medievalfreeco.org.uk","  information  ","has"," been tacked on"
"christian.org.uk","  government  ","has"," betrayed us."
"bowness.demon.co.uk","  experience  ","has"," been framed by"
"martininstitute.ox.ac.uk","--  phonics  ","has"," been touted as"
"bowness.demon.co.uk","  experience  ","has"," been framed by"
"hsc.uwe.ac.uk",". No  man  ","has"," ever left a"
"jollyfarmer.co.uk","  points  ","has"," been regular"
"martininstitute.ox.ac.uk","little  island  ","has"," some sort of"
"martininstitute.ox.ac.uk","what  someone  ","has"," said i ''m"
"medievalfreeco.org.uk","legal  advisor  ","has"," a copy of the"
"samoa.co.uk",". This  version  ","has","n''t been out"
"medievalfreeco.org.uk","relevant  link  ","has"," been included"
"xibalba.demon.co.uk","''s  insight  ","has"," been to see"
"dancecity.co.uk","? in  question  ","has"," to be man-made"
"exposure.co.uk",". The  campaign  ","has"," given"
"talyllyn.co.uk",". This  country  ","has"," been subject"
"blog.outofthebedroom.co.uk","or a wet  route  ","has"," to be followed"
"xibalba.demon.co.uk","this  hatred  ","has",", according to"
"carbonflo.co.uk","your  body  ","has"," to burn extra"
"samoa.co.uk","daytime  radio  ","has"," become so"
"tps.org.uk","the  software  ","has"," to work with."
"dancecity.co.uk","that the  human  ","has"," never been one"
"martininstitute.ox.ac.uk","be ''the  team  ","has",". '' Paul"
"dancecity.co.uk","  processing  ","has"," as its direct"
"crbs.org.uk","  option  ","has"," been enabled,"
"propheticvision.org.uk",", our local  vet  ","has"," since"
"talyllyn.co.uk","our  country  ","has"," been"
"brigglife.co.uk","the  industry  ","has"," seen"
"hi-europe.co.uk",". The  packer  ","has"," a duty to mark"
"jollyfarmer.co.uk","the  situation  ","has"," been"
"medievalfreeco.org.uk","that more  care  ","has"," not been taken"
"hsc.uwe.ac.uk","which  display  ","has"," less power to"
"chichesterjazzclub.co.uk","The  framework  ","has"," been"
"dancecity.co.uk","  programme  ","has"," allowed"
"martininstitute.ox.ac.uk","of people  use  ","has"," the potential"
"letsgogardening.co.uk","  philosophy  ","has"," held sway"
"medievalfreeco.org.uk","''s  reputation  ","has"," been so"
"cwn.org.uk","for what  radio  ","has"," filtered out"
"jdhooker.org.uk","The  enclosure  ","has"," an excellent"
"fantasyfactory.co.uk","  eviction  ","has"," been; Kate ''s"
"bowness.demon.co.uk","where  work  ","has"," been"
"cwn.org.uk"," ","has"," been"
"ageconcern.org.uk","your  credit  ","has"," reached £10,"
"talyllyn.co.uk",".  Gentleman  ","has"," pursued these"
"peteralan.co.uk","it. The  row  ","has"," provoked"
"rcpsglasg.ac.uk","  employer  ","has"," the right of"
"dancecity.co.uk","of  biology  ","has"," been to view"
"fantasyfactory.co.uk","asks if  anyone  ","has"," got the tea"
"dptac.gov.uk","  information  ","has"," to be provided"
"medievalfreeco.org.uk","produced ""  IAS  ","has"," now published"
"dancecity.co.uk","of a  machine  ","has"," undergone an"
"dancecity.co.uk","this  ability  ","has"," to be"
"mariners-l.co.uk","this  process  ","has"," been central"
"rcpsglasg.ac.uk","a full tax  year  ","has"," passed"
"crbs.org.uk","  option  ","has"," been enabled,"
"crbs.org.uk","  option  ","has"," been enabled."
"crbs.org.uk","systems,  echo  ","has"," to be turned"
"nowt2do.co.uk","  playing  ","has"," influenced"
"journalism.cf.ac.uk","  beachfront  ","has"," yet to recover"
"journalism.cf.ac.uk","  health  ","has"," a long and"
"uxisweb1.brunel.ac.uk","every  care  ","has"," been taken in"
"oncology.cam.ac.uk","  Convention  ","has"," already been"
"oncology.cam.ac.uk","to  health  ","has"," since been"
"oncology.cam.ac.uk","  imperative  ","has"," become a major"
