"corpus","ukwac"
"subcorpus","-"
"concordance size","4684319"
"query","Query:[lc=""for"" | lemma_lc=""for""];Positive filter (excluding KWIC):-1 -1 -1 [tag=""Nc.*""];GDEX:100 "
"bobsticks.co.uk","  photography  ","for"," all occasions"
"letsgogardening.co.uk","by its  workers  ","for"," free."
"chichesterjazzclub.co.uk","  requirements  ","for"," particular"
"ageconcern.org.uk","  material  ","for"," the site. My"
"ageconcern.org.uk","any  money  ","for"," visitor reads"
"ageconcern.org.uk","new  topics  ","for"," your review at"
"martininstitute.ox.ac.uk","scottish  term  ","for"," child similar"
"ageconcern.org.uk","for  payment  ","for"," Very Useful or"
"martininstitute.ox.ac.uk","to stop  time  ","for"," their"
"chichesterjazzclub.co.uk","  Guidelines  ","for"," HE"
"chichesterjazzclub.co.uk","on  framework  ","for"," higher"
"ageconcern.org.uk","is the  need  ","for"," new reviewers"
"chichesterjazzclub.co.uk","credit  rating  ","for"," enhanced"
"bobsticks.co.uk","  foundations  ","for"," houses, the"
"martininstitute.ox.ac.uk","''s little  love  ","for"," the English"
"chichesterjazzclub.co.uk","  mechanism  ","for"," such"
"ageconcern.org.uk","a  source  ","for"," that, I have"
"hsc.uwe.ac.uk","also his  rival  ","for"," the"
"martininstitute.ox.ac.uk"," ","for"," the smallest"
"antcarparts.co.uk","be an  excuse  ","for"," your"
"letsgogardening.co.uk","paint  jobs  ","for"," laptops. An"
"chichesterjazzclub.co.uk","  students  ","for"," employment."
"chichesterjazzclub.co.uk",", the  need  ","for"," clear"
"chichesterjazzclub.co.uk","  point  ","for",""
"hsc.uwe.ac.uk","of me; I  blush  ","for"," my"
"martininstitute.ox.ac.uk","  credit  ","for"," at least being"
"birminghamfoe.org.uk","of the  country  ","for"," a long time"
"martininstitute.ox.ac.uk","with a  love  ","for"," linguistics"
"chichesterjazzclub.co.uk","  Guidelines  ","for"," the"
"chichesterjazzclub.co.uk","  descriptors  ","for"," the main"
"birminghamfoe.org.uk",""" It is of no  use  ","for"," me to argue"
"birminghamfoe.org.uk","up by the  earth  ","for"," the benefit of"
"antcarparts.co.uk","to make a  will  ","for"," reasons best"
"dptac.gov.uk","  requirement  ","for",""
"martininstitute.ox.ac.uk","  countries  ","for"," years - ever"
"chichesterjazzclub.co.uk","  outcomes  ","for"," each"
"martininstitute.ox.ac.uk",".  Thankyou  ","for"," your views"
"hsc.uwe.ac.uk",", to seek  food  ","for"," melancholy."
"hsc.uwe.ac.uk","higher  views  ","for"," their"
"antcarparts.co.uk","the  reasons  ","for"," such"
"dptac.gov.uk","  institution  ","for",""
"chichesterjazzclub.co.uk","title e. g.  EdD  ","for"," Doctor of"
"birminghamfoe.org.uk","  time  ","for"," them. If they"
"bobsticks.co.uk","of  justice  ","for"," the county are"
"ageconcern.org.uk","little or a  lot  ","for"," the site. The"
"dptac.gov.uk","  institution  ","for"," certain small"
"bobsticks.co.uk","county  jail  ","for"," felons and"
"ageconcern.org.uk","a solid  amount  ","for"," the traffic it"
"martininstitute.ox.ac.uk","many  doors  ","for"," me over here."
"chichesterjazzclub.co.uk"," ","for"," a greater"
"hsc.uwe.ac.uk","no  foundation  ","for"," this ''loud"
"dptac.gov.uk","  customers  ","for"," facilitating"
"chichesterjazzclub.co.uk","  descriptors  ","for"," the main"
"martininstitute.ox.ac.uk","  programming  ","for",""
"chichesterjazzclub.co.uk"," ","for"," HE"
"letsgogardening.co.uk","  support  ","for"," their home"
"chichesterjazzclub.co.uk","that in  order  ","for",""
"birminghamfoe.org.uk","a grand  chance  ","for"," you now your"
"ageconcern.org.uk","is  nothing  ","for"," do nating to"
"tps.org.uk","your  device  ","for"," some time and"
"martininstitute.ox.ac.uk","lingua  franca  ","for"," the entire"
"martininstitute.ox.ac.uk","out  things  ","for"," themselves"
"chichesterjazzclub.co.uk","  requirements  ","for"," the PG"
"chichesterjazzclub.co.uk","  accounts  ","for"," at least a"
"chichesterjazzclub.co.uk","  structure  ","for"," taught"
"chichesterjazzclub.co.uk","  requirements  ","for"," particular"
"letsgogardening.co.uk","PC  industry  ","for"," style and"
"chichesterjazzclub.co.uk","of  awards  ","for"," further study"
"martininstitute.ox.ac.uk","''s  ideal  ","for"," the language."
"ageconcern.org.uk","my  standards  ","for"," several of my"
"letsgogardening.co.uk","  philosophy  ","for"," the Model T as,"
"hsc.uwe.ac.uk","He hid his  face  ","for"," a few seconds;"
"chichesterjazzclub.co.uk","QAA  framework  ","for"," higher"
"ageconcern.org.uk","for  u-rate-it  ","for"," me is that my"
"ageconcern.org.uk","positive  note  ","for"," u-rate-it for"
"hsc.uwe.ac.uk","him, and  grief  ","for"," the cause of"
"letsgogardening.co.uk","desktop  cases  ","for"," individuals"
"martininstitute.ox.ac.uk","English  word  ","for"," child. Laura"
"martininstitute.ox.ac.uk","latest  fad  ","for"," political"
"hsc.uwe.ac.uk","''s  desire  ","for"," the real heir,"
"martininstitute.ox.ac.uk","to  school  ","for"," linguistics I"
"martininstitute.ox.ac.uk","have  sympathy  ","for"," teachers and"
"chichesterjazzclub.co.uk"," ","for"," new"
"martininstitute.ox.ac.uk","  changes  ","for"," words such as"
"bobsticks.co.uk","as to put a  stop  ","for"," the present to"
"martininstitute.ox.ac.uk","  bugularise  ","for"," being"
"tps.org.uk","  candidate  ","for"," this feature"
"tps.org.uk","  file  ","for"," deletion was"
"bobsticks.co.uk","  requisites  ","for"," carrying on"
"ageconcern.org.uk","your  account  ","for"," each unique"
"antcarparts.co.uk","be on the  watch  ","for"," lizards,"
"chichesterjazzclub.co.uk","Masters  title  ","for"," extended"
"hsc.uwe.ac.uk","sorry  subject  ","for"," me to talk upon"
"chichesterjazzclub.co.uk","  IMPLICATIONS  ","FOR"," PRACTICE AT"
"birminghamfoe.org.uk","find an  excuse  ","for"," seizing the"
"birminghamfoe.org.uk","man made a  rush  ","for"," this place or"
"dptac.gov.uk","  charges  ","for"," changing"
"letsgogardening.co.uk","  demand  ","for"," personalised"
"hsc.uwe.ac.uk","  agitation  ","for"," the chance of"
"martininstitute.ox.ac.uk","any  meaning  ","for"," example"
"tps.org.uk","  detail  ","for"," MobileDb - as I"
"tps.org.uk","  requirement  ","for"," my use of a PDA"
"hi-europe.co.uk","  contract  ","for"," a large chain"
"hi-europe.co.uk","of the  checks  ","for"," one year. The"
"hi-europe.co.uk","of the  checks  ","for"," one year, or to"
"vacant.org.uk","the  adoption  ","for"," knowledge"
"vacant.org.uk","  lessons  ","for"," financial"
"vacant.org.uk","  consequences  ","for"," those who"
"vacant.org.uk","apparent  need  ","for"," an "" all or"
"vacant.org.uk","  cause  ","for"," the"
"vacant.org.uk","and speedy  fix  ","for"," all the flaws"
"vacant.org.uk","finance  staff  ","for"," the failure."
"vacant.org.uk","that it is  time  ","for"," accountants"
"xibalba.demon.co.uk","a  thought  ","for"," the singers,"
"xibalba.demon.co.uk","  touchstone  ","for"," evolutionary"
"xibalba.demon.co.uk","love of  beauty  ","for"," beauty ''s sake"
"xibalba.demon.co.uk","  explanations  ","for"," animal"
"xibalba.demon.co.uk","a  distaste  ","for"," ''positivist"
"xibalba.demon.co.uk",", as a  search  ","for"," ''general laws"
"xibalba.demon.co.uk",", and  disputes  ","for"," which there"
"xibalba.demon.co.uk","  evidence  ","for"," the sake of"
"xibalba.demon.co.uk","  requirements  ","for"," Darwinian"
"xibalba.demon.co.uk","  cure  ","for"," athlete ''s"
"xibalba.demon.co.uk","a  question  ","for",""
"xibalba.demon.co.uk","a  mechanism  ","for"," evolution and"
"xibalba.demon.co.uk","in his  account  ","for"," the idea, dear"
"xibalba.demon.co.uk","in  sociology  ","for"," the concept of"
"xibalba.demon.co.uk","  theory  ","for"," the concept of"
"xibalba.demon.co.uk","  language  ","for"," sociology."
"bcs-mt.org.uk","their  plans  ","for"," World"
"key-arts.co.uk","a stunt  baby  ","for"," Mothercare"
"key-arts.co.uk","served  time  ","for"," murder in the"
"key-arts.co.uk","PM awh,  thanx  ","for"," the update..."
"exeter.ac.uk","some  flats  ","for"," couples)."
"exeter.ac.uk","main  centre  ","for"," mixing with"
"exeter.ac.uk","  destination  ","for"," some"
"exeter.ac.uk","the  country  ","for"," student"
"exeter.ac.uk","sign-up  lists  ","for"," Tuesday"
"exeter.ac.uk",".  Tickets  ","for",""
"exeter.ac.uk","MCR at 7 p.  m.  ","for"," sherry before"
"exeter.ac.uk","Keynes  house  ","for"," £2, or bought"
"exeter.ac.uk","the  librarian  ","for"," details. The"
"exeter.ac.uk",". The  post-box  ","for"," this is"
"exeter.ac.uk","from  college  ","for"," any length of"
"exeter.ac.uk","  address  ","for"," Russell"
"exeter.ac.uk","''  week  ","for"," a guided tour"
"exeter.ac.uk","  something  ","for"," you. The"
"exeter.ac.uk","a  boat  ","for"," those who are"
"exeter.ac.uk","in  college  ","for"," a nominal"
"badgirls.co.uk","the  context  ","for"," design as an"
"tonearm.co.uk","famous  figure  ","for"," advertising"
"tonearm.co.uk","  need  ","for"," recognition"
"tonearm.co.uk","was no  need  ","for"," her any longer"
"tonearm.co.uk","of  care  ","for"," those"
"tonearm.co.uk","  patients  ","for"," starvation"
"tonearm.co.uk","unless a ""  law  ","for"," annihilation"
