compound,N_tokens_BERT,N_tokens_Llama
airforce,2,2
airway,2,2
applesauce,3,4
armchair,1,3
ballgame,2,2
baseball,1,1
bearskin,2,3
birdcage,3,3
birthday,1,2
birthweight,2,2
bordertown,2,3
boyfriend,1,2
brainpower,2,2
brickwork,2,2
bullfight,2,4
businesswoman,2,3
campground,1,2
catnap,3,2
cheesecake,2,4
coastguard,2,2
cookbook,2,2
courtroom,1,2
covergirl,2,3
crossbow,1,2
crowbar,2,2
dollhouse,2,2
dressmaker,2,2
drumstick,2,3
duckpond,3,3
eggcup,2,2
eyeball,2,4
facemask,3,3
factsheet,3,2
farmland,1,3
fireball,2,2
fireplace,1,2
flightcrew,3,3
floodgate,2,3
folksong,2,3
fruitcake,2,3
hailstorm,2,3
haircut,2,3
handclap,3,3
handprint,2,2
heatstroke,3,2
homeland,1,2
houseplant,3,2
jailbreak,2,3
kneecap,2,3
landlord,1,3
lifeguard,2,3
lightbulb,3,3
mailman,2,2
meatball,2,2
mincemeat,4,4
molehill,2,2
moneylender,3,4
mountaintop,2,3
paperclip,3,2
passport,1,2
photobook,2,3
racetrack,1,3
railway,1,1
restroom,1,2
ringtone,2,3
riverbed,2,2
roadhouse,2,2
sandpaper,2,2
sawdust,2,3
schoolfriend,4,2
schoolgirl,2,3
schoolmate,2,2
schoolyard,2,2
seafood,1,3
shotglass,2,2
sideline,2,2
sinkhole,2,2
skatepark,2,3
smokescreen,2,3
snowfall,1,2
snowshoe,3,3
songbird,2,2
spacecraft,1,2
spaceship,1,2
stardust,2,3
sunbeam,2,3
swordfight,2,3
taxicab,3,3
thunderstorm,2,4
tinfoil,2,3
toothpaste,3,3
topsoil,3,4
tracksuit,2,2
trapdoor,2,2
vineyard,1,3
waistband,1,3
waterfall,1,2
wheelchair,1,3
windshield,1,3
wingspan,1,2
