compound,N_tokens_BERT,N_tokens_Llama
airmedic,3,3
alebank,2,2
bagweb,3,2
barbox,2,2
bedscreen,2,3
beefolk,3,3
beltmast,3,3
bogeylist,3,3
bookbasin,3,3
brainbed,2,2
breadnut,2,2
bridefeather,4,4
butterlamp,3,4
cakebaby,3,4
cakenest,3,3
catpen,2,2
cavehouse,2,2
chalkbaby,3,4
cheekwater,2,3
coaljet,2,2
deedword,2,3
deskscarf,3,4
dinnersale,2,3
dogrope,3,3
dogsong,2,2
dyestore,3,2
fairycoat,2,4
figbike,3,3
flowerbeard,3,3
gemtruck,3,3
ghostlip,2,3
grainhouse,2,3
grassgap,3,3
grassladder,3,3
gumsheet,3,3
gymguilt,3,4
hamstyle,3,2
helltower,2,3
horsebench,3,3
jazzbox,2,2
junkroom,2,3
lakebasket,2,3
lifebasket,2,3
lifegate,2,3
lionrug,2,3
lunchcup,2,3
monkeyhat,2,3
moondisc,3,3
mouthscreen,2,2
mucklust,4,4
neckbird,2,2
oceanpen,2,2
papertruck,3,3
peaceproof,2,2
policyfolk,2,2
poolbrick,2,3
prayermantel,3,4
prisonlap,3,2
radiostory,2,3
ricewig,2,2
rifleshelf,3,3
roadcheese,3,3
roofbrick,2,3
screenday,2,4
sealeaf,3,3
seatcone,3,3
shirtcream,3,4
shoecycle,2,2
sightcentre,3,3
soapdevil,3,3
soapeye,2,3
soupbag,2,2
sportpower,2,2
stagejaw,3,3
stairpaper,2,3
steamjar,2,2
stovemeat,3,4
stovetown,2,4
styledragon,3,4
stylepod,2,2
sugarstraw,3,3
summerforest,3,3
summerpit,2,2
sungown,2,3
swinelouse,4,4
swordmask,3,2
tentboom,3,3
textbed,2,2
theaterbarn,3,4
tideroad,3,4
toolmat,2,2
treeshirt,3,3
videojar,2,2
voicerod,2,4
wandjet,2,2
warbed,2,2
webcloth,2,3
winebrain,3,3
woolgear,3,4
yardnest,3,2
