"corpus","ukwac"
"subcorpus","-"
"concordance size","14295"
"query","Query:[lc=""causes"" | lemma_lc=""causes""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"bayfordkarting.co.uk","''s atmosphere"," causes","  problems  for"
"hyperguide.co.uk","in a way which"," causes","  injustice  to"
"kented.org.uk","a toggle which"," causes","  command  input"
"victorianartinbritain.co.uk","high a speed"," causes","  loss  of"
"growell.co.uk","taking which"," causes","  harm  to the"
"birdfinders.co.uk","organ, which"," causes","  muscle"
"johnbuchansociety.co.uk","of water that"," causes","  blossom  end"
"thamesweb.co.uk","30mg daily"," causes","  harm  ("
"external.swap.ac.uk",". All our big"," causes","  amount  to that"
"phoenixs.co.uk",", this still"," causes",""
"4minutes.co.uk","a virus that"," causes","  anaemia  in"
"greywall.demon.co.uk","disease that"," causes","  inflammation"
"platform-end.co.uk","the bow and"," causes","  war  to cease."
"star.ucl.ac.uk",", cruel and"," causes","  disruption  to"
"treehuggermums.co.uk","natural- what"," causes","  difficulties"
"birminghamfoe.org.uk","'' but"," causes","  grief  , and"
"victorianartinbritain.co.uk","a system also"," causes","  noise  . Air"
"admin.cam.ac.uk","before it"," causes","  skiers  thumb!"
"key-arts.co.uk",", once again"," causes","  symmetry  in"
"growell.co.uk","taking which"," causes","  harm  to the"
"practicalpc.co.uk","about what"," causes","  changes  of"
"word-on-the-web.co.uk","with God and it"," causes","  others  to"
"thetrousers.co.uk","what"," causes","  things  to grow"
"efa.org.uk","change always"," causes","  problems  ."
"legendarydartmoor.co.uk","escape"," causes","  life"
"taxfreegold.co.uk","on the block or"," causes","  others  to ooh"
"francealacarte.org.uk","to detect,"," causes","  traffic"
"gorleston-on-sea.co.uk","; morphine"," causes","  spasm  of the"
"blog.ctrlbreak.co.uk","Disease which"," causes",""
"americansc.org.uk","often"," causes","  turnbuckles"
"blogistan.co.uk",". Too much"," causes","  burning  ,"
"john.pettigrew.org.uk",". Mercury"," causes","  birth  defects"
"insideoutpr.co.uk","out. His cross"," causes","  problems  and"
"goddessalive.co.uk","stress"," causes","  pain  there."
"baronage.co.uk","nitrogen and"," causes","  disease  in"
"addictive247.co.uk","problems and"," causes","  workers  to"
"eng.warwick.ac.uk","many good"," causes","  benefit  ?"
"thepresidenthotel.co.uk","that this"," causes","  damage  to the"
"oink.demon.co.uk","of insulin"," causes","  diabetes  . By"
"william-shakespeare.org.uk","than one, also"," causes","  memory"
"psalmody.co.uk","who"," causes","  blizzards"
"taylorbells.co.uk","globe, this"," causes","  frustrations"
"william-shakespeare.org.uk","). If set, this"," causes","  memory"
"4minutes.co.uk","of a gene that"," causes","  tumours  by"
"gmgplc.co.uk",". The -p option"," causes","  output  to be"
"gmgplc.co.uk",". The -p option"," causes","  output  to be"
"gmgplc.co.uk",". The -l option"," causes","  output  to be"
"nbtea.co.uk","fillings,"," causes","  exposure  to"
"saa.co.uk","the virus that"," causes","  bluetongue  --"
"gleeson0.demon.co.uk","spaces; it"," causes",""
"liberty-human-rights.org.uk","mould that"," causes","  disease"
"greywall.demon.co.uk","that"," causes","  inflamation"
"penninewaterways.co.uk","glufosinate,"," causes","  birth  defects"
"cleanersafergreener.gov.uk","? - What"," causes","  violence  in"
"integral.co.uk","instance. It"," causes","  problems  for"
"marquee.demon.co.uk","vector"," causes","  cancer  as well"
"gorleston-on-sea.co.uk","involvement"," causes",""
"books.kelkoo.co.uk","B virus"," causes","  myocarditis"
"talyllyn.co.uk","with dogs"," causes","  damage  and"
"authorsonline.co.uk","mould that"," causes","  disease"
"royalpioneercorps.co.uk","to a file. It"," causes","  values  to be"
"epsr-marx-lenin.co.uk","what somehow"," causes","  something  may"
"addictive247.co.uk","long hours"," causes","  safety"
"obv.org.uk","to product A"," causes","  X  percent of"
"gleeson0.demon.co.uk","of control it"," causes","  distress  to"
"gmgplc.co.uk",", and %q"," causes","  printf  to"
"qcanet.co.uk","that she"," causes","  confusion  in"
"cleanersafergreener.gov.uk","did? - What"," causes","  terrorism  ? -"
"midleykent.fsnet.co.uk","product that"," causes","  people  to"
"kented.org.uk","mand breaksw"," causes","  execution  to"
"gmgplc.co.uk",", each of which"," causes","  printing  of"
"safeguardbarriers.co.uk","and all"," causes","  mortality  ."
"bectu.org.uk","outlined that"," causes","  governments"
"redking.co.uk","outlined that"," causes","  governments"
"safeguardbarriers.co.uk","and all"," causes","  mortality"
"nyb.org.uk","more severe it"," causes","  angina  or"
"mara.org.uk","to manual that"," causes","  problems  with"
"ias.org.uk","taxes. What"," causes","  inflation  ? In"
"languagesabroad.co.uk","relations,"," causes","  sufferings  to"
"wellerassociates.co.uk","definitely"," causes","  flare-ups  . I"
"macrobiotics.co.uk","spasm which"," causes","  pain  similar"
