"corpus","ukwac"
"subcorpus","-"
"concordance size","42959"
"query","Query:[lc=""uses"" | lemma_lc=""uses""];Positive filter (excluding KWIC):-1 -1 -1 [tag=""Nc.*""];GDEX:100 "
"bubl.ac.uk","your  computer  ","uses",". If this is not"
"moggies.co.uk","  department  ","uses"," the Molecular"
"big-brother.me.uk","or  school  ","uses",", you may copy"
"newsweaver.co.uk","for  strings  ","uses"," the ASCII"
"accfinweb.account.strath.ac.uk","way the  media  ","uses"," anecdote to"
"scottishtorymeps.org.uk","cod  feed  ","uses"," only off-cuts"
"fdsystems.co.uk","  authority  ","uses",", you will be"
"go-newfocus.co.uk",". â? The  course  ","uses"," WebCT, the"
"worldwar1.co.uk","Your  mom  ","uses"," lard instead"
"ff1600.co.uk","level. The  map  ","uses"," a locally held"
"jcrwww.quns.cam.ac.uk",", UK.  Crotchet  ","uses"," modern"
"propertypro.co.uk","the  medicinal  ","uses"," of essential"
"clwww.essex.ac.uk","Watts the  lamp  ","uses",", the faster"
"qmul.ac.uk","The FD  method  ","uses"," a finite"
"pearsoned.co.uk","search  engine  ","uses"," all text"
"rnib.org.uk","This  fellow  ","uses"," a typewriter"
"alba.org.uk","  resource  ","uses"," the latest"
"motorinsurance.co.uk","  trial  ","uses"," quasi-random"
"equinetourism.co.uk","oil  industry  ","uses"," to mean final"
"philobiblon.co.uk","the  teacher  ","uses"," to"
"bubl.ac.uk","your  computer  ","uses",". If your"
"emco.co.uk","  Fire-Wind  ","uses"," in the final"
"william-shakespeare.org.uk","  layer  ","uses"," native """
"bubl.ac.uk","your  computer  ","uses"," Microsoft"
"asiaticpheasants.co.uk",", if the  client  ","uses"," the word "" sad """
"swaine.me.uk","the  composer  ","uses",""
"blog.ctrlbreak.co.uk","  coffee  ","uses"," large amounts"
"vare.org.uk","The TUC ''s  plan  ","uses"," a"
"ilook.fsnet.co.uk",". The  paper  ","uses"," qualitative"
"taots.co.uk",".  Work  ","uses"," modern tools"
"sciencenet.org.uk",". The  website  ","uses"," historic"
"spartacus.schoolnet.co.uk",". The  watch  ","uses"," high grade"
"justride.co.uk","and  Dylan  ","uses"," traditional"
"immediatefuture.co.uk",", the  editor  ","uses"," the values"
"redflag.org.uk","many  business  ","uses"," for 3G phones"
"gardenaction.co.uk","This  solution  ","uses"," a combination"
"william-shakespeare.org.uk",". This  release  ","uses"," unix as the"
"telematica.co.uk",". The  process  ","uses"," Symbolic"
"chippendale.co.uk","that the  model  ","uses"," in the model"
"englishmonarchs.co.uk",". ? The  series  ","uses"," a narrative,"
"lucas.ucs.ed.ac.uk","so the  channel  ","uses"," less"
"psni.police.uk","  technology  ","uses"," peer-to-peer"
"royalascot.co.uk","into  fibre  ","uses"," too many harsh"
"wellchild.org.uk","  refreshment  ","uses",". It is of"
"yealm-holidays.co.uk","Studio.  NET  ","uses"," this at design"
"greenparty.org.uk","this  program  ","uses",""
"crbs.org.uk","  telnet  ","uses"," at least the"
"woodforde.co.uk",". The  game  ","uses"," the"
"emco.co.uk","? Our  service  ","uses"," user ID and"
"thepixelfarm.co.uk",".  Concrete  ","uses"," less cement,"
"whom.co.uk","to find  novel  ","uses"," for common"
"wellchild.org.uk",", when the  A3  ","uses"," in the"
"the-morningstar.co.uk","of poole.  com  ","uses"," LIFT Text"
"bl.uk","Rye The  author  ","uses"," a case study to"
"accountability.org.uk","  engineering  ","uses"," the same tools"
"century.guardian.co.uk","of  end  ","uses"," for"
"libertas.demon.co.uk","where  nobody  ","uses"," weapons of"
"foe.co.uk"," ","uses"," the related"
"clwww.essex.ac.uk","a flashing  LED  ","uses"," less power"
"propertypro.co.uk",", the  author  ","uses"," his"
"thealbany.org.uk","; neither  side  ","uses"," bio-chemical"
"panos.org.uk","  production  ","uses"," archival"
"stopurban4x4s.org.uk","  professor  ","uses"," blogs in"
"borkowski.co.uk","while  pselect  ","uses"," a struct"
"cmtr.co.uk","the basic  cast  ","uses"," that part of"
"caledonian.ac.uk","  re-refining  ","uses"," will increase"
"bagpipeworld.co.uk","  alternative  ","uses"," for the"
"germantutor.co.uk","if  someone  ","uses"," the advanced"
"richmondreview.co.uk",". The  author  ","uses"," sodium"
"richmondreview.co.uk","This  website  ","uses"," a"
"greenparty.org.uk","this  program  ","uses"," the kind"
"theobamber.co.uk","if your  client  ","uses"," the word"
"fontoon.co.uk",": This  paper  ","uses"," five"
"masud.co.uk",": not  everyone  ","uses"," the same frame"
"arts.guardian.co.uk",", s. surf.  tps  ","uses"," a quadtree"
"brucesfingers.co.uk","  consumption  ","uses"," (sanitation,"
"worldwar1.co.uk","up Your  mom  ","uses"," lard instead"
"cs.nott.ac.uk","The  seminar  ","uses"," cases studies"
"borkowski.co.uk","  function  ","uses"," a timeout that"
"mbdevelopments.co.uk",". The  proposal  ","uses"," an existing"
"newsweaver.co.uk","  comparison  ","uses",""
"samoa.co.uk",": (My  study  ","uses"," a wider range"
"vacant.org.uk","  everyone  ","uses"," to construct"
"codexbooks.co.uk","  agency  ","uses"," an innovative"
"cs.ucl.ac.uk","common  system  ","uses"," a bucket that"
"moremusic.co.uk","  jar  ","uses"," a"
"spotonmarketing.co.uk","The  invention  ","uses",""
"childrens.uk-shoponline.co.uk","  TV  ","uses"," the film"
"incore.ulst.ac.uk"," ","uses"," only half the"
"psni.police.uk","sad  theme  ","uses"," oboe, strings"
"cls.ioe.ac.uk",". This  concept  ","uses"," the available"
"wellchild.org.uk","and  leisure  ","uses"," 1 space per 20"
"wellchild.org.uk","1,200  Leisure  ","uses",": 7,600 sq. m. x"
"libertas.demon.co.uk","on the  future  ","uses"," of"
"ccruni.gov.uk","fish  farm  ","uses"," fairly small"
"vare.org.uk","in  places  ","uses"," the theme from"
"arts.guardian.co.uk","  Encoding  ","uses"," 4 of 5 group"
"chat.dailymail.co.uk",". The  author  ","uses"," available"
"moremusic.co.uk","This  version  ","uses"," a tube of"
"crbs.org.uk",". -b  hostalias  ","Uses"," bind(2) on the"
"eng.bham.ac.uk","  pool  ","uses"," NETWORK"
"olympics.org.uk",". The  code  ","uses"," a"
"sd-commission.org.uk","on at all  times  ","uses"," less energy"
"ayrshirehistory.org.uk",". The  mask  ","uses"," merge and test"
"tuc.org.uk","  view  ","uses"," a very warped"
"cph.rcm.ac.uk","local  council  ","uses"," a GPS system to"
"portsmouthfairtrade.org.uk","help  facility  ","uses"," Bayesian"
"unemployeddoctor.co.uk",". uk This  text  ","uses"," colour"
"talyllyn.co.uk","a  fresco  ","uses"," this gift like"
"graysathletic.co.uk","who in  fact  ","uses"," every effort"
"soundbeam.co.uk","that the  phone  ","uses"," to work out"
"spaced-out.org.uk","  editor  ","uses"," information"
"gleeson0.demon.co.uk","Brando  case  ","uses"," a strip of"
"jesushouse.org.uk","  snippet  ","uses"," Avalon. To me,"
"autumnidealhomeshow.co.uk","  computer  ","uses"," a common"
"ukspa.org.uk","time an  addict  ","uses"," the drugs, the"
"itgovernance.co.uk",". If the  enemy  ","uses"," chemical"
"businessbureau-uk.co.uk","William  books  ","uses"," a word like?"
"mrc.ac.uk","the  employer  ","uses"," the"
"lists.ucles.org.uk","- lots of  stuff  ","uses"," SHA-1. This"
"african-angler.co.uk",". This  paper  ","uses"," life"
"nutrition.org.uk","- 3D  Edit  ","uses"," the power of"
"davidcheethamgardens.co.uk","length  film  ","uses"," a structure"
"people.ex.ac.uk","- 3D  Edit  ","uses"," the power of"
"codexbooks.co.uk","- 3D  Edit  ","uses"," the power of"
"bordercrossings.org.uk","the  student  ","uses"," a variety of"
"missinglinkclassichorror.co.uk","- 3D  Edit  ","uses"," the power of"
"savoy.abel.co.uk","the  system  ","uses"," the ` ` message"
"magonia.demon.co.uk",", the  plant  ","uses"," the energy"
"assetprotections.co.uk","our  system  ","uses"," this often"
"bathfringe.co.uk","tip  selector  ","uses"," the """
"nbtea.co.uk","one  treatment  ","uses"," a single pill"
"saa.co.uk",". The  test  ","uses"," eye-swab"
"uhlc.org.uk","? This  course  ","uses"," a range of"
"fylde.demon.co.uk","  campaign  ","uses"," grossly"
"camden.gov.uk","a  laundry  ","uses"," up. We are very"
"strath.ac.uk","  photometry  ","uses"," a multiply"
"beingmrkenny.co.uk","the  system  ","uses"," as virtual"
"autumnidealhomeshow.co.uk","the C  language  ","uses"," single quotes"
"ccpr.org.uk","ago.  Genesis  ","uses"," many"
"musiconmypc.co.uk",", this  site  ","uses"," cookies to"
"princeofwales.gov.uk",". uk  website  ","uses"," cookies. The"
"elixir.bham.ac.uk","authori-  ties  ","uses"," their own"
"bristolfiesta.co.uk",", but the  level  ","uses"," a lot of Doom 2"
"durham21.co.uk","news  network  ","uses"," all"
"ricoh.co.uk","the  tenant  ","uses"," license"
