"corpus","ukwac"
"subcorpus","-"
"concordance size","3938582"
"query","Query:[lc=""is"" | lemma_lc=""is""];Positive filter (excluding KWIC):-1 -1 -1 [tag=""Nc.*""];GDEX:100 "
"martininstitute.ox.ac.uk","of  grammar  ","is"," more worrying"
"martininstitute.ox.ac.uk","any  language  ","is"," about"
"chichesterjazzclub.co.uk","  programmes  ","is"," not"
"martininstitute.ox.ac.uk","with a soft  c  ","is"," now common in"
"martininstitute.ox.ac.uk","  dialect  ","is"," fun to listen"
"martininstitute.ox.ac.uk","for PC  users  ","is"," "" alternate """
"ageconcern.org.uk","end  result  ","is"," a personal"
"ageconcern.org.uk","  advantage  ","is"," the ability to"
"martininstitute.ox.ac.uk","one. An  ass  ","is"," what Our Lord"
"letsgogardening.co.uk",". The  company  ","is"," looking into"
"martininstitute.ox.ac.uk",". Your  version  ","is"," no more"
"ageconcern.org.uk","earned to  date  ","is"," displayed at"
"birminghamfoe.org.uk","him; this  man  ","is"," no better than"
"martininstitute.ox.ac.uk","My  impression  ","is"," that there ''s"
"ageconcern.org.uk","in  government  ","is"," 100 %"
"martininstitute.ox.ac.uk","mother  tongue  ","is"," not English. I"
"martininstitute.ox.ac.uk","our  language  ","is"," alive! Liam"
"chichesterjazzclub.co.uk","''  title  ","is"," restricted to"
"chichesterjazzclub.co.uk","The  Framework  ","is"," focused on"
"martininstitute.ox.ac.uk","  version  ","is"," spelt with an"
"antcarparts.co.uk","the  place  ","is"," left may be an"
"martininstitute.ox.ac.uk","? The  reality  ","is"," no one - it ''s a"
"martininstitute.ox.ac.uk","of this  word  ","is"," wrong. The"
"martininstitute.ox.ac.uk",". The  problem  ","is"," that no one"
"ageconcern.org.uk","my cable  modem  ","is"," a breeze. The"
"martininstitute.ox.ac.uk","  intonation  ","is"," concerned. It"
"birminghamfoe.org.uk","and their  rule  ","is"," at an end. I"
"birminghamfoe.org.uk","  confession  ","is",", "" said West"
"ageconcern.org.uk",". As a  review  ","is"," submitted,"
"martininstitute.ox.ac.uk","see on the  TV  ","is"," from American"
"chichesterjazzclub.co.uk","  structure  ","is"," much in use."
"martininstitute.ox.ac.uk","the  practice  ","is"," now so"
"birminghamfoe.org.uk","till the  war  ","is"," over, and let"
"martininstitute.ox.ac.uk","wrong  ''that  ","is"," so not right ''"
"martininstitute.ox.ac.uk",", our  language  ","is"," most"
"letsgogardening.co.uk","  philosophy  ","is"," starting to"
"antcarparts.co.uk","life. A  hobby  ","is"," the happy"
"martininstitute.ox.ac.uk"," ","is"," the word"
"martininstitute.ox.ac.uk",""". The  answer  ","is"," "" Yes, you can"
"martininstitute.ox.ac.uk","  Americanism  ","is"," "" fill out "","
"ageconcern.org.uk",".  Writing  ","is"," my creative"
"martininstitute.ox.ac.uk","  contexts  ","is"," making it less"
"martininstitute.ox.ac.uk","of  writing  ","is"," the"
"martininstitute.ox.ac.uk",""" Some  village  ","is"," missing an"
"martininstitute.ox.ac.uk","some  meaning  ","is"," narrowing the"
"birminghamfoe.org.uk",""" The  prisoner  ","is"," a bit saucy! """
"chichesterjazzclub.co.uk","  institution  ","is"," working"
"ageconcern.org.uk","your  review  ","is"," to the site. An"
"martininstitute.ox.ac.uk","American  form  ","is"," the ancestral"
"martininstitute.ox.ac.uk","  language  ","is"," a dead one such"
"martininstitute.ox.ac.uk",". One  example  ","is"," using good for"
"martininstitute.ox.ac.uk","  dictionary  ","is"," constantly"
"antcarparts.co.uk",". A  hedge  ","is"," the same as a"
"martininstitute.ox.ac.uk","''  language  ","is"," all about."
"martininstitute.ox.ac.uk","or  phrase  ","is"," spoken"
"dptac.gov.uk",": The  order  ","is"," given in £,"
"martininstitute.ox.ac.uk","dialect  term  ","is",") but it is"
"ageconcern.org.uk","  update  ","is"," consid ered."
"martininstitute.ox.ac.uk",".  Language  ","is"," variation."
"martininstitute.ox.ac.uk",".  Language  ","is"," change."
"martininstitute.ox.ac.uk","  proscription  ","is"," an odd"
"ageconcern.org.uk","  perception  ","is"," that the site"
"ageconcern.org.uk","final  option  ","is"," no and that is"
"chichesterjazzclub.co.uk","  entry  ","is"," required may"
"ageconcern.org.uk","the front  page  ","is"," far more"
"chichesterjazzclub.co.uk","the  Framework  ","is"," not intended"
