"corpus","ukwac"
"subcorpus","-"
"concordance size","8801"
"query","Query:[lc=""made"" | lemma_lc=""made""][lc=""of"" | lemma_lc=""of""];Positive filter (excluding KWIC):-1 -1 -1 [tag=""Nc.*""];GDEX:100 "
"independentliving.co.uk","make me a  phone  ","made of"," chocolate! ?"
"universalenergycentre.co.uk","  boards  ","made of"," a particular"
"biomed.abdn.ac.uk","oldest  ones  ","made of"," calf-skin,"
"bristolfiesta.co.uk","  drug  ","made of"," lead pencils!"
"blogs.guardian.co.uk","of the  pumps  ","made of"," special metal"
"faith.co.uk","is a  mosaic  ","made of"," different"
"fvi.org.uk","  clothes  ","made of"," wool or wool"
"durham21.co.uk",". The only  use  ","made of"," cookies by the"
"ppcmag.co.uk",".  Castles  ","Made of"," Sand - a review"
"missiedith.bentbacktulips.co.uk","been any  use  ","made of"," the figures"
"nhsplus.nhs.uk","a battery  pack  ","made of"," 2 AAA size"
"viglen.co.uk","on a  stream  ","made of"," twisted glass"
"horniman.ac.uk",". The  house  ","made of"," stone or mud"
"aimhigher.ac.uk","it. Old  steps  ","made of"," oak planks"
"shop.dataip.co.uk","the river  bed  ","made of"," big rocks."
"srtl.co.uk","  everything  ","made of"," glass. Murano"
"birminghamfocus.org.uk","it with a  fist  ","made of"," fucking hell."
"lums.lancs.ac.uk",", and  cap  ","made of"," cloth. Eight"
"itma.org.uk","wear  outfits  ","made of"," bread. Yeah,"
"broadcaster.org.uk","  headstones  ","made of"," crosses with"
"birminghamfocus.org.uk","a whole  jaw  ","made of"," ow, with"
"myweb.tiscali.co.uk","new  watch  ","made of"," old stock. A"
"londonfashionweek.co.uk",", are  brains  ","made of","? Why does"
"omlet.co.uk","with  walls  ","made of"," sound."
"varley9.freeserve.co.uk","  staff  ","made of"," it all."
"cma.soton.ac.uk","have  ''walls  ","made of"," air ''."
"cyclingtimetrials.org.uk","in  costumes  ","made of"," expensive"
"spartacus.schoolnet.co.uk","double  seals  ","made of"," material used"
"in-the-spirit.co.uk","not, in  fact  ","made of",""
"dcs.ed.ac.uk","  trolley  ","made of"," wickerwork"
"warwickshire-wildlife-trust.org.uk","for an arm  band  ","made of"," fox fur and the"
"top50freebies.co.uk","of  criticisms  ","made of"," their work so"
"shu.ac.uk","'' feed  pellets  ","made of"," cereals and"
"bettybookmark.co.uk","was a  visor  ","made of"," thin"
"classic-literature.co.uk","given  sandals  ","made of"," plaited"
"scotcourts.gov.uk","for any  flue  ","made of"," metal or"
"essex.police.uk","22-27.  Plugs  ","made of"," bare, soft"
"psigate.ac.uk","food  packages  ","made of"," recycled"
"chester.ac.uk","  houses  ","made of"," rusty tan mud"
"www-jcsu.jesus.cam.ac.uk",", a  pendulum  ","made of"," stone will"
"nbtea.co.uk","the  Universe  ","made of","? Several"
"americansc.org.uk","from the  use  ","made of"," it in hauling"
"birdinghawaii.co.uk","  exhibition  ","made of"," cardboard and"
"www-tus.csx.cam.ac.uk","of 60s  jukebox  ","made of"," wood. And is"
"nzstamps.fsnet.co.uk","  estimation  ","made of"," the skills"
"anyclean.co.uk","  gloves  ","made of"," leather ("
"medical-acupuncture.co.uk"," ","made of"," its"
"teamtechnology.co.uk","  intrusions  ","made of"," the nest by"
"bond.org.uk","the main  use  ","made of"," the holding"
"boardsonline.co.uk","effective  use  ","made of"," the new modern"
"socialistunitynetwork.co.uk","it down,  ''Tis  ","made of"," ground-ivy,"
"governornet.co.uk","it down,  ''Tis  ","made of"," ground-ivy,"
"pnisha.org.uk","it down,  ''Tis  ","made of"," ground-ivy,"
"fire.org.uk","at  anything  ","made of"," snow and ice"
"wellchild.org.uk","like a  Palace  ","made of"," Crystal."
"blogigo.co.uk"," ","made of"," hundreds of"
"skyscript.co.uk","are  creatures  ","made of"," breath and"
"pers-www.wlv.ac.uk","Mayor ''s  badge  ","Made of"," 18 carat gold,"
"localhistory.scit.wlv.ac.uk","barbed  wire  ","made of"," striped"
"bowness.demon.co.uk","and the  use  ","made of"," it by the young"
"bordercrossings.org.uk","had  something  ","made of"," real silver """
"hrionline.ac.uk",".  Articles  ","made of"," material,"
"retirement-matters.co.uk","  criticisms  ","made of"," housing"
"isfp.co.uk","  range  ","made of"," jagged lines"
"flooringsupplies.co.uk","skill  demands  ","made of"," workers who"
"bbcgovernors.co.uk","  structures  ","made of"," plastics and"
"newbalance.co.uk","- a fashion  bra  ","made of"," two yarmulkes"
"dca.gov.uk",", and  carvings  ","made of"," it at the time"
"fantasyfactory.co.uk","  wheels  ","made of"," chrome chain"
"prudential.co.uk","  cake  ","made of"," currants and"
"bytestart.co.uk","  preservative  ","made of"," one part"
"metroradioarena.co.uk","any  mention  ","made of"," a court to try"
"bfinance.co.uk",", and  soup  ","made of"," rotten"
"knowledge.co.uk","to  fee  ","made of"," the Charge"
"retirement-matters.co.uk","  assessments  ","made of"," housing"
"borkowski.co.uk","greater  use  ","made of"," truancy"
"themagictouch.co.uk","  shelters  ","made of"," tattered"
"nottinghillhousing.org.uk","with a  fence  ","made of"," barbed wire"
"taxfreegold.co.uk","pink  woman  ","made of"," cinder blocks"
"fitz.cam.ac.uk","limited  use  ","made of"," the windows"
"orate.co.uk","  bags  ","made of"," "" dittis "", a"
"voiceoftheslug.org.uk","and  tunnels  ","made of"," hoardings and"
"london-culture.co.uk","  decoration  ","made of"," cord and/ or"
"bfinance.co.uk","2 lb. ) of  bread  ","made of",""
"daydreamnation.co.uk","outer  arcs  ","made of"," wider"
"cre.gov.uk","outer  arcs  ","made of"," wider"
"pers-www.wlv.ac.uk","a scarlet  robe  ","made of"," superfine"
"bio.bris.ac.uk","funny,  cases  ","made of"," cardboard"
"bio.bris.ac.uk","funny,  cases  ","made of"," cardboard"
"iserv.abertay.ac.uk"," ","made of"," bits of the"
"eprints.gla.ac.uk","1624 A  survey  ","made of"," the Castle in"
"politicalcartoon.co.uk","and  videos  ","made of"," x frames per"
"rcsed.ac.uk","with a  net  ","made of"," illegal twine"
